pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	diangkoXrynbu	ZNgShiwxryn	ZNgShiwxrynPotyo	qrimtyo	ngrietyo	thongqitmra
059E5-mo2	姥		mó	mo2	魚	麌				U+59E5
059E6-kran1	姦		kran	kran1	元	删	奸			U+59E6
059E8-ji1	姨		ji	ji1	脂	支				U+59E8
059EA-det4	姪		det	det4	質	屑			dritの變種。《爾雅·釋親》：“女子謂晜弟之子爲‘姪’。”注引《左傳〔·僖公十五年〕》：“姪其從姑。”音義：“姪，大結反，《字林》云：‘兄女。’又丈乙反（drit）。”《左傳·僖公十五年》注：“謂我姪者，我謂之姑。”音義：“姪，待結反，《字林》丈一反（drit）。”《襄公十九年》：“齊侯娶于魯，曰‘顔懿姬’，無子。其姪鬷聲姬生光，以爲太子。”注：“兄子曰‘姪’。”音義：“姪，直結反。”《名義》：“姪，徒結反，昆弟子爲姪。”《切韵》：“姪，姪娣（《切三》原作‘曰娣’）。”	U+59EA
059EA-drit3	姪		drit	drit3	質	質			detの變種。《廣韵》：“姪，兄弟之子。妷，上同。”《王二》直質反“妷”字條：“今趙、魏間呼兄弟子也。”《辭源》唯載此音。	U+59EA
059F1-khrua1	姱		khrua	khrua1	魚					U+59F1
059F6-qwp4	姶		qəp	qwp4	緝					U+59F6
059FB-qin1	姻		qin	qin1	真	真				U+59FB
059FF-ci1	姿		ci	ci1	脂	支				U+59FF
059FF-ci3	姿		cî	ci3	脂				｛恣｝。《漢語大詞典》第二音“《集韵》資四切”項：“通‘恣’。”	U+59FF
05A01-qyui1	威		qyui	qyui1	微	微				U+5A01
05A09-pheng1	娉		pheŋ	pheng1	耕	青		《字彙》：“娉……又平聲，披經切，娉婷，美貌。”		U+5A09
05A09-phieng3	娉		phiêŋ	phieng3	耕					U+5A09
05A0C-liw2	娌		liə́	liw2	之					U+5A0C
05A18-nriang1	娘		nriaŋ	nriang1	陽	陽				U+5A18
05A25-nga1	娥		ŋa	nga1	歌	歌				U+5A25
05A2D-qhiw1	娭		qhiə	qhiw1						U+5A2D
05A2D-qwi1	娭		qəi	qwi1						U+5A2D
05A31-ngo3	娱		ŋô	ngo3	魚				ŋyoと异義不明。《廣韵》：“娱，娱樂也。”	U+5A31
05A31-ngyo1	娱		ŋyo	ngyo1	魚				ŋôと异義不明。｛虞｝。《詩·鄭風·出其東門》：“縞衣茹藘，聊可與娱。”傳：“娱，樂也。”音義：“娱，本亦作‘虞’。”《莊子·讓王》：“故許由娱於潁陽而共伯得乎共首。”音義：：“虞於潁陽，《廣雅》云：‘虞，安也。’安於潁陽，一本作‘娱’，娱，樂也。”《史記·屈原傳·懷沙賦》：“含憂虞哀兮，限之以大故。”索隱：“《楚詞》作‘舒憂娱哀’。娱，音虞。娱者，樂也。”磧砂本《玄應音義》卷第三《摩訶般若波羅蜜經》第四十卷音義：“娱樂，〔上〕《字詁》古文‘虞’，今作‘娱’，同，牛俱反，……《字林》：‘娱，亦樂也。’《白虎通》曰：‘虞樂，言天下之人皆有樂也。’《釋名》：‘虞樂，言神還樂也。’”《名義》：“娱，疑區反，娱樂也。”《切韵》：“娱，樂。”	U+5A31
05A63-qin1	婣		qin	qin1	真					U+5A63
05A64-thryu1	婤		thryu	thryu1	幽				不明。按：tyuと异義不明。《名義》：“婤，敕周、止由二反（–、tyu），好貌也。”《新撰字鏡》：“婤，敕周反、止由反，女字，好貌，太志牟（タシム），又阿支太留（アキ₁タル），又己乃牟（コ₂ノム）。”《王韵》：“婤，好貌。”	U+5A64
05A64-tyu1	婤		tyu	tyu1	幽				人名用字音。《左傳·昭公七年》：“衛襄公夫人姜氏無子，嬖人婤姶生孟縶。”音義：“婤，音周，又直周反（dryu），徐又敕周反（thryu）。”《王韵》：“婤，女字。”	U+5A64
05A66-byu2	婦		byú	byu2	之	有				U+5A66
05A67-cieng1	婧		cieŋ	cieng1	耕				dziéŋ、dziêŋと异義不明。《切韵》：“婧，竦立。”	U+5A67
05A67-dzieng2	婧		dziéŋ	dzieng2	耕				cieŋ、dziêŋと异義不明。《廣韵》：“妌，女人貞絜也。婧，上同。”	U+5A67
05A67-dzieng3	婧		dziêŋ	dzieng3	耕				cieŋ、dziéŋと异義不明。《後漢書·張衡傳·思玄賦》：“舒妙婧之纖腰兮，揚雜錯之褂徽。”注：“婧，音財性反，謂妍婧也。”《文選》舊注：“訬婧，細腰貌。”李善注：“《説文》曰：‘婧，妍婧也。’財性切，一音精（cieŋ）。”《名義》：“婧，財性、子盈二反（–、cieŋ），竦立也。”《王韵》：“婧，竦立。”	U+5A67
05A6A-lwm1	婪		ləm	lwm1	侵	覃				U+5A6A
05A93-xuang1	媓		xuaŋ	xuang1	陽					U+5A93
05A9B-xryen3	媛		xryên	xryen3	元					U+5A9B
05A9B-xyan1	媛		xyan	xyan1	元					U+5A9B
05A9F-siet4	媟		siet	siet4	月	屑				U+5A9F
05AB5-jiwng3	媵		jiə̂ŋ	jiwng3	蒸	徑			zhiə̂ŋの變種。《公羊傳·莊公十九年·經》：“公子結媵陳人之婦于鄄，遂及齊侯、宋公盟。”音義：“媵，以證反，又繩證反（zhiə̂ŋ）。”傳：“媵者何？諸侯娶一國，則二國往媵之，以姪娣從。”《左傳·經》音義：“媵，以證反，又繩證反，送也。”《穀梁傳·經》音義：“媵，以證反，又繩證反，《爾雅》云：‘送也。’”《詩·召南·江有汜·序》：“江有汜，美媵也。”音義：“媵，音孕，又繩證反，古者諸侯娶夫人，則同姓二國媵之。”《史記·殷紀》：“伊尹名阿衡。阿衡欲奸湯而無由，乃爲有莘氏媵臣。”正義：“媵，翊剩反，《爾雅》云：‘媵、將，送也。’”《爾雅·釋言》注引《左傳》：“以媵秦穆姬。”音義：“媵，以證反，又繩證反，《方言》云：‘媵，寄也，託也，送也。’”《左傳·僖公五年》注：“秦穆姬，晋獻公女。送女曰‘媵’，以屈辱之。”《方言》第二：“……媵，寄也。……寄物爲‘媵’。”注：“媵，音孕。”第十三：“媵，託也。”今本《方言》無訓“送也”文。《急就篇》卷三：“妻婦聘嫁賫媵僮。”注：“媵，以證反，一作‘賸’。……媵，送女也。”《玄應音義》卷第五《堅固女經》音義：“媵，翼證反。依字，媵，送也，《方言》：‘媵，寄也，亦託也。’”卷第十九《佛本行集經》第九卷音義：“媵，《説文》作‘⿰亻⿱龹女’，同，餘證、食證二反（–、zhiə̂ŋ），《爾雅》：‘媵，送也。’謂送女曰‘媵’，《公羊傳》曰：‘……’《釋名》：‘媵，承也，謂承事適奉他也。’”卷第二十四《阿毗達磨俱舍論》第二十卷音義：“姬媵……下餘證反，……《左傳〔·僖公五年〕》：‘……’杜預曰：‘……’媵，送也，寄也。《公羊傳》曰：‘……’《釋名》云：‘姪娣曰“媵”。媵，承也，……’今三品曰‘姬’，五品曰‘媵’，是也。”《晋書·山濤傳》：“初，濤布衣家貧，……及居榮貴，貞慎儉約，雖爵同千乘，而無嬪媵。”音義：“媵，以證反。”《廣雅·釋詁》：“媵……寄也。”音：“媵，以證〔反〕。”《名義》：“媵，餘證、食證二反，送也，託也，寄也。”《王韵》：“媵，送女。”《藤田2018》同。	U+5AB5
05AB5-zhiwng3	媵		zhiə̂ŋ	zhiwng3	蒸	徑			jiə̂ŋの變種。《左傳·昭公二十八年》“吾母多而庶鮮”注：“言父多妾媵，而庶子鮮少。”音義：“媵，繩證反，又時證反（diəŋ）。”《漢書·平帝紀·元始五年》：“其出媵妾，皆歸家得嫁，如孝文時故事。”注：“媵妾，謂從皇后俱來者。媵之言，送。媵，音食證反，又音孕也（jiə̂ŋ）。”《切韵》：“媵，送女。”	U+5AB5
05AB8-thiw1	媸		thiə	thiw1	之					U+5AB8
05AC1-kra3	嫁		krâ	kra3	魚	禡				U+5AC1
05AC4-ngyan1	嫄		ŋyan	ngyan1	元					U+5AC4
05ACC-xem1	嫌		xem	xem1	談	鹽				U+5ACC
05AE0-liw1	嫠		liə	liw1	之					U+5AE0
05AFA-xren1	嫺		xren	xren1	元	删				U+5AFA
05AFB-xren1	嫻		xren	xren1	元					U+5AFB
05B00-krye1	嬀		krye	krye1	歌					U+5B00
05B03-syo1	嬃		syo	syo1	侯					U+5B03
05B17-dien3	嬗		diên	dien3	元				①｛禪｝。《史記·秦楚之際月表》：“五年之間，號令三嬗。”集解：“〔嬗〕音善（dién）。”索隱：“古‘禪’字，音市戰反。三嬗，謂陳涉、項氏、漢高祖也。”《漢書·文帝紀·元年》：“今縱不能博求天下賢聖有德之人而嬗天下焉，而曰豫建太子，是重吾不德也。”注引晋灼：“嬗，古‘禪’字。”②人名用字音。《史記·衛將軍驃騎傳》“〔霍去病〕子嬗”索隱：“〔嬗〕音市戰反。”《漢書·霍去病傳》“子嬗”注：“嬗，音上戰反。”③不明。《廣雅·釋詁》：“嬗……婢也。”音：“嬗，十扇〔反〕。”	U+5B17
05B17-tan2	嬗		tán	tan2	元				不明。《廣韵》：“嬗，緩也。”	U+5B17
05B17-than1	嬗		than	than1	元				不明。《王韵》：“嬗，緩。”	U+5B17
05B17-than2	嬗		thán	than2	元				不明。《名義》：“嬗，吐但反，婢也，緩也。”《新撰字鏡》（引《玉篇》部分）：“嬗，吐但反，緩也，娨監也（？），婢也。”	U+5B17
05B19-dziang1	嬙		dziaŋ	dziang1	陽					U+5B19
05B19-sriwk4	嬙		sriək	sriwk4	職				人名用字音。《廣韵》：“嬙，女字。”按：然而，《莊子·齊物論》：“毛嬙、麗姬，人之所美也。”音義：“嬙，徐在良反（dziaŋ）。司馬云：‘毛嬙，古美人。’一云：越王美姬也。”	U+5B19
05B25-deu1	嬥		deu	deu1	宵				theu、déu、drokと异義不明。《詩·小雅·大東》“佻佻公子，行彼周行”傳：“佻佻，獨行貌。”音義：“佻佻，徒雕反，徐又徒了反（déu），沈又徒高反（dau），獨行貌，《韓詩》作‘嬥嬥’，往來貌，並音挑（theu）。”《文選》左思《魏都賦》：“或明發而嬥歌，或浮泳而卒歲。”張載注：“嬥，謳歌，巴土人歌也。何晏曰：‘巴子謳歌，相引牽，連手而跳歌也。’”李善注：“《爾雅》曰：‘佻佻契契，愈遐急也。’郭璞曰：‘賦役不均，賢人憂嘆，遠急切也。’佻，或作‘嬥’，音‘葦苕’〔之苕〕，一音徒了反。”《爾雅·釋訓》音義：“佻佻，徒雕反，《詩》〔傳（？）〕云：‘佻佻，獨行嘆息也。’”《廣雅·釋詁》：“……嬥……好也。”音：“嬥，徒聊、徒了〔二反〕。”《王韵》：“嬥，獨行貌。”《廣韵》：“嬥，《聲類》云：‘細腰貌。’”	U+5B25
05B25-deu2	嬥		déu	deu2	宵				theu、deu、drokと异義不明。《後漢書·獻帝紀·延康元年》注：“《續漢書》曰：‘……羽林孤兒、巴俞嬥歌者六十人，爲六列。……’嬥，音徒了反。”《名義》：“嬥，徒蓼、徒聊二反，行也，往來貌、好貌也。”《王韵》：“嬥，獨行貌。”《廣韵》：“嬥，嬥嬥，往來貌，《韓詩》云：‘嬥歌，巴人歌也。’”《辭源》第一音“徒了切”項第一義項：“體態匀稱。”第二義項：“見‘嬥歌’。”	U+5B25
05B25-deu3	嬥		dêu	deu3	宵				不明。《廣韵》：“嬥，嬥嬈，不仁。”《説文》：“嬥，直好貌，一曰：嬈也。”“	U+5B25
05B25-drok4	嬥		drok	drok4	藥				theu、deu、déuと异義不明。《切韵》：“嬥，直好貌。”	U+5B25
05B25-theu1	嬥		theu	theu1	宵				deu、déu、drokと异義不明。《廣雅·釋訓》：“嬥嬥，好也。”音：“嬥嬥，湯的〔反〕（thek，蓋本作‘湯彫’，theu）。”《辭源》第二音“《集韵》他雕切”項：“見‘嬥嬥’。”	U+5B25
05B2C-nu3	嬬		nû	nu3					人名用字音。《集韵》：“嬬，女字。”	U+5B2C
05B2C-nyo1	嬬		nyo	nyo1						U+5B2C
05B34-jieng1	嬴		jieŋ	jieng1	耕	庚				U+5B34
05B38-shim2	嬸		shím	shim2	侵	寢				U+5B38
05B3E-lan2	嬾		lán	lan2	？					U+5B3E
05B40-sriang1	孀		sriaŋ	sriang1	陽	陽				U+5B40
05B50-ciw2	子		ciə́	ciw2	之	紙				U+5B50
05B50-ciw3	子		ciə̂	ciw3	之				動詞【愛護する】。《禮·樂記》：“致樂以治心，則易、直、子、諒之心油然生矣。”注：“子，讀如‘不子’之‘子’。”音義：“子，如字，徐將吏反。”疏：“子，謂子愛。”《中庸》：“凡爲天下國家有九經，曰：修身也，尊賢也，親親也，敬大臣也，體群臣也，子庶民也，來百工也，柔遠人也，懷諸侯也。”注：“子，猶愛也。”音義：“子，如字，徐將吏反，愛也。”	U+5B50
05B50-dziw1	子		dziə	dziw1	之			見音義欄。	｛慈｝。《辭源》第三音項：“通‘慈’。《書·召誥》：‘天迪從子保。’清王引之《經義述聞》：‘“子”當讀爲“慈”，古字“子”與“慈”通。’《禮·樂記》：‘君子曰：禮樂不可斯須去身，致樂以治心，則易直子諒之心，油然生矣。’子諒，《韓詩外傳》作‘慈良’。”按：皆音ciə̂。	U+5B50
05B51-kiet4	孑		kiet	kiet4	月	屑		按：《切韵》系反語皆成kriet，而正音kiet。《詩·鄘風·干旄》：“孑孑干旄，在浚之郊。”傳：“孑孑，干旄之貌，注旄於干首，大夫之旃也。”音義：“孑孑，居熱反（kiet），又居列反（kriet）。”《爾雅·釋魚》“蜎，蠉”注：“井中小蛣蟨赤蟲，一名‘孑孑’，《廣雅》云。”音義：“孑，紀列反（kriet），《字林》云：‘無右臂。’古熱反（kiet）。”《詩·大雅·雲漢》：“周餘黎民，靡有孑遺。”注：“孑然遺失也。”音義：“孑，居熱反。”《左傳·莊公四年》：“楚武王荆尸，授師孑焉：以伐隨。”注：“揚雄《方言》：“孑者，戟也。”音義：“孑，吉熱反（kiet），《方言》云：‘楚謂戟爲“孑”。’”《文選》王逸《魯靈光殿賦》：“白鹿孑蜺於欂櫨，蟠螭宛轉而承楣。”李善注：“孑蜺，延首之貌。孑，甄熱切（kiet）。”《急就篇》卷三注：“戟，枝刃之矛也，楚謂之‘孑’。”自注：“〔孑〕古薛反（kiet）。”《玄應音義》卷第十二《雜寶藏經》第三卷音義：“單孑，〔下〕居折反（kiet），孑，猶獨也，《字林》‘無右臂曰“孑”’，是其義也。”卷第十三《燈指因緣經》：“孑然，〔上〕居折反，案：孑，猶孤獨也，《説文》‘無右臂曰“孑”’、《國語》‘胡有孑然’，是也。”《名義》：“孑，居折反，失也，餘也，後也，短也。”《廣雅·釋詁》：“……孑……短也。”音：“孑，吉∅〔反〕（ki-）。”尚有注音爲kriet之例。《晋書·陸機傳·辯亡論上》：“蓬籠之戰，孑輪不反。”音義：“孑，居列反。”《李密傳·陳情表》：“煢煢孑立，形影相吊。”音義：“孑，居列反。”《玄應音義》卷第十五《僧祇律》第十八卷音義：“孑，居列反，《爾雅》：‘蜎，蠉。’郭璞曰：‘井中蛣蟨赤蟲也，一名“孑孑”。’《通俗文》‘蜎化爲蚊’，是也。”卷第二十二《瑜伽師地論》第九十一卷音義：“孑然，〔上〕居列反，案：孑，猶單己孤獨也，《説文》：‘孑，無右臂曰“孑”。’”		U+5B51
05B54-khung2	孔		khúŋ	khung2	東	董				U+5B54
05B55-jiwng3	孕		jiə̂ŋ	jiwng3	蒸	徑				U+5B55
05B57-dziw3	字		dziə̂	dziw3	之	寘				U+5B57
05B58-dzun1	存		dzun	dzun1	文	元				U+5B58
05B5A-byu1	孚		byu	byu1	幽				名詞｛孚尹（–xryn）｝の詞音。《禮·聘義》：“夫昔者，君子比德於玉焉。……孚尹旁達，信也。”注：“孚，讀爲‘浮’。……浮筠，謂玉采色也。采色旁達，不有隱翳，似信也。孚，或作‘姇’，或爲‘扶’。”音義：“孚，依注音浮。”	U+5B5A
05B5A-phyo1	孚		phyo	phyo1	幽					U+5B5A
05B5C-ciw1	孜		ciə	ciw1	之					U+5B5C
05B63-kyi3	季		kŷi	kyi3	脂	寘				U+5B63
05B64-ko1	孤		ko	ko1	魚	虞				U+5B64
05B65-no1	孥		no	no1	魚					U+5B65
05B69-xwi1	孩		xəi	xwi1	之	灰				U+5B69
05B73-ciw1	孳		ciə	ciw1	之					U+5B73
05B73-dziw3	孳		dziə̂	dziw3	之					U+5B73
05B75-phyo1	孵		phyo	phyo1	幽					U+5B75
05B78-xrau3	學		xrâu	xrau3	覺				外向動詞【おしへる】。《禮·學記》：《兑命》曰“學學半”，其此之謂乎？”注：“言學人，乃益己之學半。”音義：“學學，上胡孝反，下如字。言學人，〔中〕胡孝反，又音教。”疏：“言教人乃是益己學之半也。”今本《書·説命下》作“斆學半”，僞孔傳：“斆，教也。教然後知所困，是學之半。”音義：“斆，户孝反。”《禮·文王世子》：“凡學世子及學士，必時。”音義：“學，户孝反，教也。”《儀禮·燕禮》注：“樂正亦學國子以舞。”音義：“學，户教反，教也。”	U+5B78
05B78-xrok4	學		xrok	xrok4	覺	覺				U+5B78
05B80-mien1	宀		mien	mien1	元					U+5B80
05B84-kryi2	宄		krýi	kryi2	幽					U+5B84
05B87-xyo2	宇		xyó	xyo2	魚	麌				U+5B87
05B88-shyu2	守		shyú	shyu2	幽	有				U+5B88
05B88-shyu3	守		shyû	shyu3	幽				名詞【ガード，ディフェンス】。《書·周官》僞孔傳：“周制，十二年一巡守。”音義：“守，音狩，下同，本亦作‘狩’。”《畢命》：“申畫郊圻，慎固封守，以康四海。”僞孔傳：“謹慎堅固封疆之守備。”音義：“守（經文），徐始救反。”《周禮·春官·天府》：“天府掌祖廟之守藏與其禁令。”注：“祖廟，始祖后稷之廟。其寶物世傳守之，若魯寶玉大弓者。”音義：“守藏，〔上〕手又反。”《左傳·襄公二十三年》“奉公以如固宫”注：“固宫，宫之有臺觀備守者。”音義：“守，手又反。”	U+5B88
05B89-qan1	安		qan	qan1	元	寒				U+5B89
05B8B-song3	宋		sôŋ	song3	冬	宋				U+5B8B
05B8C-xuan1	完		xuan	xuan1	元	寒				U+5B8C
05B95-dang3	宕		dâŋ	dang3	陽	漾				U+5B95
05B97-cong1	宗		coŋ	cong1	冬	冬				U+5B97
05B98-kuan1	官		kuan	kuan1	元	寒				U+5B98
05B99-dryu3	宙		dryû	dryu3	幽	宥				U+5B99
05B9A-deng3	定		dêŋ	deng3	耕	徑				U+5B9A
05B9A-teng3	定		têŋ	teng3	耕	徑			①星名。《詩·鄘風·定之方中》音義：“定，丁佞反，下同；定，星名，《爾雅》云：‘營室，謂之“定”。’孫炎云：‘定，正也。’”《定之方中》：“定之方中，作于楚宫。”傳：“定，營室也。”箋：“定星昏中而正，於是可以營制宫室，故謂之‘營室’。”《爾雅·釋天》注：“定，正也。作宫室皆以營室中爲正。”音義：“顁，本或作‘定’，同，多佞反。”《左傳·桓公十六年·經》注引《詩》“定之方中”音義：“定，丁佞反。”《莊公二十九年》“水昏正”注：“謂今十月，定星昏而中。”音義：“定，多佞反。”②名詞【でこ】。《詩·周南·麟之趾》：“麟之定，振振公姓。”傳：“定，題也。”音義：“定，都佞反，題也，《字書》作‘顁’，音同。”《爾雅·釋言》：“顁，題也。”注：“題，額也。《詩》曰：‘麟之定。’”音義：“顁，丁佞反，字又作‘定’，注同。”③名詞，農具の一種。《爾雅·釋器》：“斪斸，謂之‘定’。”注：“鋤屬。”音義：“定，多佞反，或作‘錠’，郭云：‘鋤屬。’李云：‘鋤别名。’”《周禮·考工記·車人》注《爾雅》“句欘，謂之‘定’”音義：“定，丁寧反，或音如字。”《廣雅·釋器》：“定，謂之‘耨’。”音：“定，帶定〔反〕。”④形容詞【ボイルされてある】。《儀禮·鄉射禮》：“羹定。”注：“肉，謂之‘羹’。定，猶執也。謂狗孰可食。”音義：“定，多佞反，注同。”《大射》：“羹定。”注：“亨肉熟也。”音義：“音義：“定，多佞反。”《禮·禮器》：“納牲詔於庭，血毛詔於室，羹定詔於堂。三韶皆不同位。”音義：“定，徐丁磬反，一音如字。”	U+5B9A
05B9C-ngrie1	宜		ŋrie	ngrie1	歌	支				U+5B9C
05BA2-khrak4	客		khrak	khrak4	鐸	陌				U+5BA2
05BA4-shit4	室		shit	shit4	質	質				U+5BA4
05BA5-xyu3	宥		xyû	xyu3	之	宥				U+5BA5
05BA6-xruan3	宦		xruân	xruan3	元	諫				U+5BA6
05BAB-kyung1	宫		kyuŋ	kyung1	冬					U+5BAB
05BB3-xai3	害		xâi	xai3	月	泰				U+5BB3
05BB3-xat4	害		xat	xat4	月					U+5BB3
05BB5-sieu1	宵		sieu	sieu1	宵	蕭				U+5BB5
05BB5-sieu2	宵		siéu	sieu2	宵			見音義欄。	｛小｝。《禮·學記》：“《宵雅》肄三，官其始也。”注：“宵之言小也。”音義：“宵，音消，小也。”	U+5BB5
05BB5-sieu3	宵		siêu	sieu3	宵			見音義欄。	｛肖｝。《漢書·刑法志》：“夫人宵天地之貌。”注引應劭：“宵，類也。”又孟康：“宵，化也，言禀天地氣化而生也。”又：“宵，義與‘肖’同，應説是也。”	U+5BB5
05BB6-ko1	家		ko	ko1	魚			《正字通》：“家……又與‘姑’同，大家，女之尊稱，漢曹世叔之妻稱‘大家班昭’，即〔班〕超妹。”《後漢書·曹世叔妻傳》：“〔曹世叔妻班昭〕博學高才。……帝數召入宫，令皇后諸貴人師事焉，號曰‘大家’。”注不注音。		U+5BB6
05BB6-kra1	家		kra	kra1	魚	麻				U+5BB6
05BB9-jyong1	容		jyoŋ	jyong1	東	冬			義略。また，形容詞、動詞、名詞｛從容（chyoŋ–）｝の詞音。	U+5BB9
05BB9-jyong2	容		jyóŋ	jyong2	東				形容詞｛從容（cyóŋ–）｝＝｛縱臾｝の詞音。《史記·衡山王傳》：“日夜從容王密謀反事。”《漢書·衡山王傳》作“縱臾”，注引如淳：“臾，讀曰勇。縱臾，猶言勉强也。”又：“縱臾，謂奬勸也。”	U+5BB9
05BBF-syu3	宿		syû	syu3	覺	宥	星宿		義略。雖蓋有其他義，依資料釋不同，今待考。	U+5BBF
05BBF-syuk4	宿		syuk	syuk4	覺	屋	住宿			U+5BBF
05BC2-dzek4	寂		dzek	dzek4	覺	錫				U+5BC2
05BC4-krie3	寄		kriê	krie3	歌	寘				U+5BC4
05BC7-khu3	寇		khû	khu3	侯	宥				U+5BC7
05BD1-chim2	寑		chím	chim2	侵					U+5BD1
05BD2-xan1	寒		xan	xan1	元	寒				U+5BD2
05BD3-ngyo3	寓		ŋyô	ngyo3	侯	遇				U+5BD3
05BE1-krua2	寡		kruá	krua2	魚	馬				U+5BE1
05BE2-chim2	寢		chím	chim2	侵	寢				U+5BE2
05BE4-ngo3	寤		ŋô	ngo3	魚	遇				U+5BE4
05BE6-zhit4	實		zhit	zhit4	質	質				U+5BE6
05BE9-shim2	審		shím	shim2	侵	寢				U+5BE9
05BEE-leu1	寮		leu	leu1	宵	蕭				U+5BEE
05BF6-pau2	寶		páu	pau2	幽	皓				U+5BF6
05BF8-chun2	寸		chún	chun2	文					U+5BF8
05BF8-chun3	寸		chûn	chun3	文	願				U+5BF8
05BFA-diw3	寺		diə̂	diw3	之	寘			｛侍｝。《詩·大雅·瞻卬》：“匪教匪誨，時維婦寺。”傳：“寺，近也。”音義：“寺，徐音侍，亦如字，近也。”疏：“寺，即侍也。侍御者，必近其傍，故以寺爲近。”	U+5BFA
05BFA-ziw3	寺		ziə̂	ziw3	之	寘				U+5BFA
05C03-phyo1	尃		phyo	phyo1						U+5C03
05C04-jia3	射		jiâ	jia3	鐸	禡				U+5C04
05C04-jiek4	射		jiek	jiek4	鐸					U+5C04
05C04-zhia3	射		zhiâ	zhia3	鐸	禡			名詞【シューティング】。《儀禮·大射儀》：“大射之儀，君有命戒射。”音義：“射，食夜反。”《禮·少儀》：“侍射則約矢。”音義：“射，食夜反。”	U+5C04
05C04-zhiek4	射		zhiek	zhiek4	鐸				動詞【いる，うつ】。《周禮·夏官·司弓矢》：“及其頒之，王弓、弧弓，以授射甲革、椹質者。”音義：“射，食亦反。”《禮·射義》：“故射者，各射己之鵠。……故男子生，桑弧蓬矢六，以射天地四方。”音義：“各射，〔下〕食亦反，下‘射天地四方’同。”《左傳·莊公十八年·經》注：“蜮……蓋以含沙射人爲灾。”音義：“射，食亦反。”《穀梁傳·經》注：“蜮……蓋含沙射人。”音義：“射，食亦反，下文同。”傳：“蜮，射人者也。”《公羊傳》音義：“蜮……或謂之‘射工’，〔射〕音食〔亦反〕。”	U+5C04
05C07-chiang1	將		chiaŋ	chiang1	陽				義略。また，形容詞｛將將｝の詞音。《詩·大雅·綿》：“乃立應門，應門將將。”傳：“將將，嚴正也。”音義：“將將，七羊反，注同，嚴正也。”《周頌·執競》：“鍾鼓喤喤，磬管將將。”傳：“將將，集也。”音義：“將將，七羊反，集也，注同，《説文》作‘蹡蹡’，行貌。”《鄭風·有女同車》：“將翱將翔，佩玉將將。”傳：“將將鳴玉而後行。”音義：“將將，七羊反，玉佩聲。”《魯頌・閟宫》：“白牡騂剛，犧尊將將。”七羊反。疏：“盛酒之器，有犧羽所飾之尊，將將然而盛美也。”按：動詞｛將將｝，《史記·淮陰侯傳》：“陛下不能將兵，而善將將。”《漢書·韓信傳》同文。《史記》三家注、《漢書注》皆未注音，蓋讀如字音ciaŋciaŋ。	U+5C07
05C07-ciang1	將		ciaŋ	ciang1	陽	陽	送也，持也		義略。また，動詞【指揮する】。《周禮·夏官·大司馬》：“王執路鼓，諸侯執賁鼓，軍將執晋鼓，師帥執提，……”音義：“將軍，如字，本或作‘軍將’。”《釋文彙校》引盧〔文弨〕：“此下少‘音工匠反’四字。”盧氏云者，｛將軍｝者，音ciaŋkyun，“將”即動詞，爲“所軍之將者”；｛軍將｝者，音kyunciâŋ，“將”即名詞，爲“軍之將”。《左傳·宣公十二年》“士季使鞏朔、韓穿帥七覆於敖前”注：“帥，將也。”音義：“將，如字，又子匠反。”《莊子·秋水》：“無幾何，將甲者進。”音義：“將甲，〔上〕如字，本亦作‘持甲’。”	U+5C07
05C07-ciang3	將		ciâŋ	ciang3	陽	漾	將帥		①名詞【指揮官】。《書·甘誓》僞孔傳：“天子六軍，其將皆命卿。”音義：“將，子匠反。”《書·泰誓中》僞孔傳：“夫子謂‘將士’。”音義：“將，子匠反。”《詩·周南·兔罝》箋：“此罝兔之人，賢者也，有武力，可任爲將帥之德。”音義：“將，子匠反。”	U+5C07
05C08-duan1	專		duan	duan1	元				｛團｝。《周禮·地官·大司徒》：“其民專而長。”注：“專，圜也。”音義：“專，徒丸反，注同。”	U+5C08
05C08-tyen1	專		tyen	tyen1	元	先				U+5C08
05C09-qyui3	尉		qyûi	qyui3	物	未			義略。｛熨｝者，《辭源》以爲音qyut。《辭源》第一音“紆物切（qyut）”項：“用熨斗熨燙布帛。後寫作‘熨’。”《廣韵》紆物切：“尉，《説文》作‘㷉’：‘从“⿸尸二”，又持火，所以申繒也。’……熨，火展帛也，《説文》本作‘㷉’，見上注。”《玄應音義》卷第十四《四分律》第十三卷“熨治”音義：“或作‘尉’，同，於謂反，《説文》：‘從上安下也，亦所以熨申繒也。’”《名義》：“尉，於魏反，自上安下。”《新撰字鏡》：“尉，於魏反，〓〓也，自上安下也，官名。”《王韵》：“尉，理。”《王二》於胃反：“尉，《説文》：‘從上案下。’”參見“熨”字條。	U+5C09
05C09-qyut4	尉		qyut	qyut4	物					U+5C09
05C0A-cun1	尊		cun	cun1	文	元				U+5C0A
05C0D-tui3	對		tûi	tui3	物	隊				U+5C0D
05C0E-dau3	導		dâu	dau3	幽	號				U+5C0E
05C0F-sieu2	小		siéu	sieu2	宵	篠				U+5C0F
05C11-shieu2	少		shiéu	shieu2	宵	篠	多少			U+5C11
05C11-shieu3	少		shiêu	shieu3	宵	嘯	老少			U+5C11
05C16-ciem1	尖		ciem	ciem1	談	鹽				U+5C16
