pieutiwbyo	dziwbyo	dziwbyoNguaidziw	zyepheng	zyephengNguaidziw	ChXZiosryoSishieng	ChXZiosryoXrynmyuk	ChXZiosryoSieuxryn	ChXDzankryenlyi	ChXDzankryen	ChXPyanchet	ChXPyanchetPotyo	XXPyanchet	XXPyanchetPotyo	KXPyanchet	KXPyanchetPotyo	DzXPyanchet	DzXPyanchetPotyo	QhZQhShienglyi	QhZQhXrynlyi	QhZQhDeuyi	thongqitmra
053F6-xep4	叶		xep	xep4	4	25	2	2	"[""切三""]"	胡頰反		胡頰反		胡頰切				匣	帖	入	U+53F6
053F7-xau3	号		xâu	xau3	3	35	1	0	"[""藤田2018""]"	胡到反		胡到反		胡到切				匣	號	去	U+53F7
05403-khek4	吃		khek	khek4	4	16	11	2	"[""切三""]"	null		null		null		null		null	null	null	U+5403
05403-khiwt4	吃		khiət	khiwt4	4	8	6	2	"[""切三""]"	null		null		null		欺訖切		null	null	null	U+5403
05403-kiwt4	吃		kiət	kiwt4	4	8	2	2	"[""切三"", ""P3694v""]"	居乞反		居乞反		居乞切				見	迄	入	U+5403
05404-kak4	各		kak	kak4	4	28	7	3	"[""Дх1372+3703""]"	古落反		古落反		古落切				見	鐸	入	U+5404
05408-kwp4	合		kəp	kwp4	4	20	2	2	"[""切三""]"	古沓反		古沓反		古沓切				見	合	入	U+5408
05408-xwp4	合		xəp	xwp4	4	20	1	2	"[""切三""]"	胡閤反		胡閤反		侯閤切				匣	合	入	U+5408
05409-kit4	吉		kit	kit4	4	5	9	2	"[""切三""]"	居質反		居質反		居質切				見	質	入	U+5409
0540B-chun3	吋		chûn	chun3	3	25	12	3	"[""S6176r""]"	null		null		null		null		null	null	null	U+540B
0540B-du2	吋		dú	du2	2	42	17	3	"[""P3693v""]"	null		null		null		null		定	厚	上	U+540B
0540B-qrieng1chun3	吋		qrieŋchûn	qrieng1chun3	null	null	null	null	[]	null		null		null		null		null	null	null	U+540B
0540C-dung1	同		duŋ	dung1	1	1	2	3	"[""切二""]"	徒紅反		徒紅反		徒紅切				定	東	平	U+540C
0540D-mieng1	名		mieŋ	mieng1	1	41	14	0	"[""藤田2018""]"	武并反		武并反		武并切				明	清	平	U+540D
0540E-xu2	后		xú	xu2	2	42	1	2	"[""切三""]"	胡口反		胡口反		胡口切				匣	厚	上	U+540E
0540E-xu3	后		xû	xu3	3	47	1	2	"[""P3694r""]"	null		null		胡遘切				null	null	null	U+540E
05410-tho2	吐		thó	tho2	2	10	2	2	"[""切三""]"	他古反		他古反		他魯切				透	姥	上	U+5410
05410-tho3	吐		thô	tho3	3	11	5	0	"[""藤田2018""]"	null		湯故反		湯故切				透	暮	去	U+5410
05411-qhiang3	向		qhiâŋ	qhiang3	3	40	8	2	"[""S6176v""]"	許亮反		許亮反		許亮切				曉	漾	去	U+5411
05411-shiang3	向		shiâŋ	shiang3	3	40	5	0	"[""藤田2018""]"	式亮反		式亮反		式亮切				書	漾	去	U+5411
05415-lio2	吕		lió	lio2	2	8	2	2	"[""切三"", ""TIVK75-100br""]"	力舉反		力舉反		力舉切				來	語	上	U+5415
0541B-kyun1	君		kyun	kyun1	1	19	8	2	"[""切三""]"	舉云反		舉云反		舉云切				見	文	平	U+541B
0541D-lin3	吝		lîn	lin3	3	21	3	0	"[""藤田2018""]"	力晋反		力晋反		良刃切				來	震	去	U+541D
0541E-then1	吞		then	then1	1	27	5	2	"[""切三""]"	null		他前反		他前切				null	null	null	U+541E
0541E-thwn1	吞		thən	thwn1	1	23	4	2	"[""切三""]"	吐根反		吐根反		吐根切				透	痕	平	U+541E
0541F-grim3	吟		grîm	grim3	3	49	6	2	"[""P3694r""]"	null		null		null		null		群	沁	去	U+541F
0541F-ngrim1	吟		ŋrim	ngrim1	1	46	19	2	"[""S6187""]"	魚今反		魚音反		魚金切				疑	侵	平	U+541F
0541F-ngrim2	吟		ŋrím	ngrim2	2	44	18	2	"[""切三""]"	null		null		null		牛錦切		null	null	null	U+541F
0541F-ngrim3	吟		ŋrîm	ngrim3	3	49	null	2	"[""P3694r""]"	null		宜禁反		宜禁切				null	null	null	U+541F
0542A-ngua1	吪		ŋua	ngua1	1	33	7	2	"[""切三""]"	null		五和反		五禾切				疑	戈	平	U+542A
0542B-xwm1	含		xəm	xwm1	1	35	5	2	"[""切三""]"	胡男反		胡南反		胡男切				匣	覃	平	U+542B
0542B-xwm3	含		xə̂m	xwm3	3	38	3	2	"[""S6176v""]"	null		null		胡紺切				匣	勘	去	U+542B
0542E-dzyen2	吮		dzyén	dzyen2	2	26	22	2	"[""切三""]"	〼〼〼	《切三》誤作：“徐兖反，又徂兖反。”《P3693r》獮韵脱反，《藤田2018》徂兖反：“又徐兖反。”	徂兖反		徂兖切				從	獮	上	U+542E
0542E-zhyn2	吮		zhýn	zhyn2	2	16	20	1	"[""切一""]"	null		null		食尹切				船	準	上	U+542E
0542F-khei2	启		khéi	khei2	2	11	11	2	"[""切三""]"	null		null		康禮切				null	null	null	U+542F
05434-ngo1	吴		ŋo	ngo1	1	11	8	1	"[""P3695""]"	五胡反		五胡反		五乎切				疑	模	平	U+5434
05435-chrau2	吵		chráu	chrau2	2	29	11	2	"[""切三""]"	null		null		初爪切				null	null	null	U+5435
05435-mieu2	吵		miéu	mieu2	2	28	10	2	"[""切三""]"	null		亡沼反		亡沼切				null	null	null	U+5435
05438-qhrip4	吸		qhrip	qhrip4	4	26	19	2	"[""切三"", ""P3799""]"	許及反		許及反		許及切				曉	緝	入	U+5438
0543B-myun2	吻		myún	myun2	2	17	1	2	"[""切三""]"	武粉反		武粉反		武粉切				微	吻	上	U+543B
0543C-qhu2	吼		qhú	qhu2	2	42	11	2	"[""切三""]"	呼后反		呼后反		呼后切				曉	厚	上	U+543C
0543C-qhu3	吼		qhû	qhu3	3	47	15	2	"[""P3694r""]"	呼候反		呼候反		呼漏切				null	null	null	U+543C
0543E-ngio1	吾		ŋio	ngio1	1	9	1	2	"[""切三""]"	null		null		null		牛居切		null	null	null	U+543E
0543E-ngo1	吾		ŋo	ngo1	1	11	8	1	"[""P3695""]"	五胡反		五胡反		五乎切				疑	模	平	U+543E
0543E-ngra1	吾		ŋra	ngra1	1	34	20	2	"[""切三""]"	null		null		五加切				null	null	null	U+543E
05446-ngwi1	呆		ŋəi	ngwi1	1	16	13	1	"[""P3695&P3696(p13)""]"	null		null		null		null		null	null	null	U+5446
05446-pau2	呆		páu	pau2	2	30	15	2	"[""切三""]"	null		null		博抱切				幫	皓	上	U+5446
05448-drieng1	呈		drieŋ	drieng1	1	41	10	0	"[""藤田2018""]"	直貞反		直貞反		直貞切				澄	清	平	U+5448
05448-drieng3	呈		driêŋ	drieng3	3	44	4	0	"[""藤田2018""]"	null		null		直正切				null	null	null	U+5448
05450-nruet4	呐		nruet	nruet4	4	12	8	2	"[""切三""]"	null		null		女滑切				null	null	null	U+5450
05450-nryet4	呐		nryet	nryet4	4	15	33	2	"[""切三""]"	女劣反		女劣反		女劣切				null	null	null	U+5450
05450-nut4	呐		nut	nut4	4	10	13	2	"[""切三"", ""P3694v""]"	null		諾忽反	《王一》□□□，《王三》諾忽反未收。	内骨切				泥	没	入	U+5450
05450-nwp4	呐		nəp	nwp4	4	20	10	2	"[""切三""]"	null		null		null		null		null	null	null	U+5450
05450-nyet4	呐		nyet	nyet4	4	15	19	2	"[""切三""]"	null		如雪反		如劣切				null	null	null	U+5450
0545F-kuen2	呟		kuén	kuen2	2	25	14	2	"[""切三""]"	null		null		null		古泫切		見	銑	上	U+545F
05468-tyu1	周		tyu	tyu1	1	43	12	2	"[""切三""]"	職鳩反		職鳩反		職流切				章	尤	平	U+5468
0546C-qhri3	呬		qhrî	qhri3	3	6	42	0	"[""藤田2018""]"	許器反		許器反		虚器切				曉	至	去	U+546C
0546C-thri3	呬		thrî	thri3	3	6	25	0	"[""藤田2018""]"	null	許器反：“又丑致反。”	null	許器反：“又丑致反。”	丑利切				null	null	null	U+546C
05471-ko1	呱		ko	ko1	1	11	4	1	"[""P3695""]"	古胡反		古胡反		古胡切				見	模	平	U+5471
05474-ku3	呴		kû	ku3	3	47	12	2	"[""P3694r""]"	null		null		null		居候切		見	候	去	U+5474
05474-kyo1	呴		kyo	kyo1	1	10	26	2	"[""切三""]"	null		null		null		null		null	null	null	U+5474
05474-qhu2	呴		qhú	qhu2	2	42	11	2	"[""切三""]"	null		呼后反		呼后切				曉	厚	上	U+5474
05474-qhyo1	呴		qhyo	qhyo1	1	10	5	2	"[""切三""]"	null		null		null		匈于切		null	null	null	U+5474
05474-qhyo2	呴		qhyó	qhyo2	2	9	9	2	"[""切三""]"	null		null		null		火羽切		曉	麌	上	U+5474
05474-qhyo3	呴		qhyô	qhyo3	3	10	8	0	"[""藤田2018""]"	null		null		香句切				null	null	null	U+5474
0547B-shin1	呻		shin	shin1	1	17	14	2	"[""切三""]"	書鄰反		書鄰反		失人切				書	真	平	U+547B
05484-tuat4	咄		tuat	tuat4	4	11	15	2	"[""切三"", ""P3694v""]"	null		null		丁括切				null	null	null	U+5484
05484-tut4	咄		tut	tut4	4	10	4	2	"[""切三"", ""P3694v""]"	當没反		當没反		當没切				端	没	入	U+5484
05486-brau1	咆		brau	brau1	1	31	15	2	"[""切三""]"	薄交反		薄交反		薄交切				並	肴	平	U+5486
0548E-gyu2	咎		gyú	gyu2	2	41	15	2	"[""切三""]"	巨久反		强久反		其九切				群	有	上	U+548E
0548E-kau1	咎		kau	kau1	1	32	2	2	"[""切三""]"	古勞反		古勞反		古勞切				見	豪	平	U+548E
0548F-xryeng3	咏		xryêŋ	xryeng3	3	42	13	0	"[""藤田2018""]"	null		null		爲命切				云	映	去	U+548F
054A8-ci1	咨		ci	ci1	1	6	5	2	"[""切三"", ""P3696(2)""]"	即脂反		即夷反		即夷切				精	脂	平	U+54A8
054AC-krau1	咬		krau	krau1	1	31	2	2	"[""切三""]"	古肴反		古肴反		古肴切				見	肴	平	U+54AC
054AC-ngrau2	咬		ŋráu	ngrau2	2	29	10	2	"[""切三""]"	null		null		null		五巧切		疑	巧	上	U+54AC
054AC-qrau1	咬		qrau	qrau1	1	31	16	2	"[""切三""]"	null		null		於交切				影	肴	平	U+54AC
054AE-tryo3	咮		tryô	tryo3	3	10	22	0	"[""藤田2018""]"	null		null		中句切				null	null	null	U+54AE
054AE-tryu1	咮		tryu	tryu1	1	43	28	0	"[""藤田2018""]"	null		null		張流切				null	null	null	U+54AE
054AE-tryu3	咮		tryû	tryu3	3	46	4	2	"[""P3694r""]"	null		陟救反		陟救切				null	null	null	U+54AE
054AE-tu3	咮		tû	tu3	3	47	6	2	"[""P3694r""]"	null		丁豆反		都豆切				null	null	null	U+54AE
054AE-tyo1	咮		tyo	tyo1	1	10	14	2	"[""切三""]"	止俱反		止俱反		章俱切				null	null	null	U+54AE
054B2-sieu3	咲		siêu	sieu3	3	33	1	0	"[""藤田2018""]"	null		私妙反		私妙切				心	笑	去	U+54B2
054B3-khwi3	咳		khə̂i	khwi3	3	19	7	0	"[""藤田2018""]"	null		null		null		null		溪	代	去	U+54B3
054B3-xwi1	咳		xəi	xwi1	1	16	11	1	"[""P3695""]"	胡來反		胡來反		户來切				匣	咍	平	U+54B3
054BB-qhrau1	咻		qhrau	qhrau1	1	31	7	2	"[""切三""]"	null		null		null		虚交切		曉	肴	平	U+54BB
054BB-qhyo2	咻		qhyó	qhyo2	2	9	9	2	"[""切三""]"	null		null		况羽切				null	null	null	U+54BB
054BB-qhyu1	咻		qhyu	qhyu1	1	43	24	2	"[""切三""]"	null		null		許尤切				曉	尤	平	U+54BB
054BF-qi1	咿		qi	qi1	1	6	16	2	"[""切三"", ""P3696(2)""]"	於脂反		於脂反		於脂切				影	脂	平	U+54BF
054C0-qwi1	哀		qəi	qwi1	1	16	3	1	"[""P3695""]"	烏開反		烏開反		烏開切				影	咍	平	U+54C0
054C1-phrim2	品		phrím	phrim2	2	44	23	2	"[""切三""]"	〼〼〼	《切三》誤作“於錦反”，《P3693v》、《藤田2018》丕錦反。	披飲反		丕飲切				滂	寢	上	U+54C1
054C3-dung1	哃		duŋ	dung1	1	1	2	3	"[""切二""]"	null		null		徒紅切				定	東	平	U+54C3
054C4-qhung1	哄		qhuŋ	qhung1	1	1	32	2	"[""P3798""]"	null		null		null		呼公切		曉	東	平	U+54C4
054C4-xung3	哄		xûŋ	xung3	3	1	21	3	"[""P3696(1)r""]"	胡貢反		胡貢反		胡貢切				匣	送	去	U+54C4
054C8-ngwp4	哈		ŋəp	ngwp4	4	20	14	2	"[""切三""]"	五合反		null		五合切				疑	合	入	U+54C8
054C8-qha1	哈		qha	qha1	1	33	22	2	"[""切三""]"	null		null		null		null		null	null	null	U+54C8
054C8-srep4	哈		srep	srep4	4	22	9	2	"[""切三""]"	null		山洽反		null				生	洽	入	U+54C8
054C8-thwp4	哈		thəp	thwp4	4	20	6	2	"[""切三""]"	null		他閤反		null				null	null	null	U+54C8
054C9-cwi1	哉		cəi	cwi1	1	16	8	1	"[""P3695""]"	祖才反		祖才反		祖才切				精	咍	平	U+54C9
054E1-xryen1	員		xryen	xryen1	1	28	35	2	"[""切三""]"	王權反		王權反		王權切				云	仙	平	U+54E1
054E1-xyun1	員		xyun	xyun1	1	19	2	2	"[""切三""]"	null		null		王分切				云	文	平	U+54E1
054E1-xyun3	員		xyûn	xyun3	3	22	2	0	"[""藤田2018""]"	null		null		王問切				云	問	去	U+54E1
054E2-lung3	哢		lûŋ	lung3	3	1	4	3	"[""P3696(1)r""]"	null		盧貢反		盧貢切				來	送	去	U+54E2
054E5-ka1	哥		ka	ka1	1	33	1	2	"[""切三""]"	古娥反	《藤田2018》古俄反未收。	古俄反		古俄切				見	歌	平	U+54E5
054E6-nga1	哦		ŋa	nga1	1	33	17	2	"[""切三""]"	五哥反		五歌反		五何切				疑	歌	平	U+54E6
054E8-chieu3	哨		chiêu	chieu3	3	33	11	0	"[""藤田2018""]"	null		null		七肖切				null	null	null	U+54E8
054E8-dzieu3	哨		dziêu	dzieu3	3	33	9	0	"[""藤田2018""]"	null		null		null		才笑切		null	null	null	U+54E8
054E8-sieu1	哨		sieu	sieu1	1	30	1	2	"[""切三""]"	null		null		相邀切				null	null	null	U+54E8
054E8-srau3	哨		srâu	srau3	3	34	10	0	"[""藤田2018""]"	null		null		null		所教切		生	效	去	U+54E8
054E9-liw2	哩		liə́	liw2	2	6	10	2	"[""切三"", ""TIVK75-100br""]"	null		null		null		null		null	null	null	U+54E9
054E9-qrieng1liw2	哩		qrieŋliə́	qrieng1liw2	null	null	null	null	[]	null		null		null		null		null	null	null	U+54E9
054ED-khuk4	哭		khuk	khuk4	4	1	5	2	"[""切三""]"	空谷反		空谷反		空谷切				溪	屋	入	U+54ED
05501-ngrien3	唁		ŋriên	ngrien3	3	31	4	0	"[""藤田2018""]"	null		魚變反		魚變切				疑	線	去	U+5501
05504-brai3	唄		brâi	brai3	3	17	5	3	"[""P3696(1)v""]"	薄邁反		薄邁反		薄邁切				並	夬	去	U+5504
05506-sua1	唆		sua	sua1	1	33	5	2	"[""切三""]"	null		蘇禾反		蘇禾切				心	戈	平	U+5506
05508-qrip4	唈		qrip	qrip4	4	26	22	2	"[""切三"", ""P3799""]"	null		null		於汲切				null	null	null	U+5508
05508-qwp4	唈		qəp	qwp4	4	20	null	2	"[""切三""]"	null		null		烏荅切				null	null	null	U+5508
05510-dang1	唐		daŋ	dang1	1	38	1	2	"[""切三""]"	徒郎反		徒郎反		徒郎切				定	唐	平	U+5510
0552B-grim2	唫		grím	grim2	2	44	16	2	"[""切三""]"	null		null		渠飲切				群	寢	上	U+552B
0552B-ngrim1	唫		ŋrim	ngrim1	1	46	19	2	"[""S6187""]"	null		null		魚金切				疑	侵	平	U+552B
0552E-dyu1	售		dyu	dyu1	1	43	13	2	"[""切三""]"	null		null		null		null		null	null	null	U+552E
0552E-dyu3	售		dyû	dyu3	3	46	25	2	"[""P3694r""]"	承秀反		承秀反		承咒切				禪	宥	去	U+552E
05538-nem3	唸		nêm	nem3	3	51	2	2	"[""P3694r""]"	null		null		null		null		泥	㮇	去	U+5538
05538-tem3	唸		têm	tem3	3	51	3	2	"[""P3694r""]"	null		都念反		都念切				null	null	null	U+5538
05538-ten3	唸		tên	ten3	3	30	null	0	"[""藤田2018""]"	null		都見反		都甸切				端	霰	去	U+5538
05541-deu3	啁		dêu	deu3	3	32	6	0	"[""藤田2018""]"	null		null		null		徒吊切		定	嘯	去	U+5541
05541-trau1	啁		trau	trau1	1	31	13	2	"[""切三""]"	null		null		陟交切				知	肴	平	U+5541
05541-tryu1	啁		tryu	tryu1	1	43	28	2	"[""切三""]"	□□□	《藤田2018》張流反。	張流反		張流切				知	尤	平	U+5541
05546-shiang1	商		shiaŋ	shiang1	1	37	5	2	"[""切三""]"	書羊反		書羊反		式羊切				書	陽	平	U+5546
0554E-ngo3	啎		ŋô	ngo3	3	11	7	0	"[""藤田2018""]"	null		吾故反		五故切				null	null	null	U+554E
0554F-myun3	問		myûn	myun3	3	22	1	1	"[""TIVK75-100a""]"	無運反		無運反		亡運切				微	問	去	U+554F
05553-khei2	啓		khéi	khei2	2	11	11	2	"[""切三""]"	康禮反		康礼反		康禮切				溪	薺	上	U+5553
05555-dau1	啕		dau	dau1	1	32	11	2	"[""切三""]"	null		null		徒刀切				null	null	null	U+5555
0557E-cyu1	啾		cyu	cyu1	1	43	7	2	"[""切三""]"	null		即由反		即由切				精	尤	平	U+557E
05580-khrak4	喀		khrak	khrak4	4	19	15	2	"[""切三""]"	苦陌反		苦陌反		苦格切				溪	陌	入	U+5580
05581-ngyo1	喁		ŋyo	ngyo1	1	10	1	2	"[""切三""]"	null		null		null		元俱切		疑	虞	平	U+5581
05581-ngyong1	喁		ŋyoŋ	ngyong1	1	3	9	2	"[""P3696(2)""]"	魚容反		魚容反		魚容切				疑	鍾	平	U+5581
05583-nrem1	喃		nrem	nrem1	1	51	8	2	"[""切三""]"	null		null		女咸切				娘	咸	平	U+5583
05583-nwm2	喃		nə́m	nwm2	2	33	4	2	"[""切三""]"	null		null		null		乃感切		null	null	null	U+5583
05588-krei1	喈		krei	krei1	1	14	1	2	"[""切三""]"	古諧反		古諧反		古諧切				見	皆	平	U+5588
0558B-dep4	喋		dep	dep4	4	25	5	2	"[""切三"", ""P3799""]"	徒協反		徒協反		徒協切				定	帖	入	U+558B
0558B-drap4	喋		drap	drap4	4	23	2	2	"[""切三""]"	丈甲反		丈甲反		丈甲切				澄	狎	入	U+558B
0558B-tep4	喋		tep	tep4	4	25	10	2	"[""切三"", ""P3799""]"	null		null		丁愜切				null	null	null	U+558B
05591-qrim1	喑		qrim	qrim1	1	46	22	2	"[""S6187""]"	null		於吟反		於金切				影	侵	平	U+5591
05591-qrim3	喑		qrîm	qrim3	3	49	9	2	"[""P3694r""]"	於禁反		於禁反	《王一》於禁反，《王三》■■■。	於禁切				影	沁	去	U+5591
05591-qwm1	喑		qəm	qwm1	1	35	4	2	"[""切三""]"	null		烏含反		烏含切				影	覃	平	U+5591
0559F-khruei3	喟		khruêi	khruei3	3	16	9	3	"[""P3696(1)v""]"	苦壞反		苦壞反		苦怪切				null	null	null	U+559F
0559F-khryi3	喟		khrŷi	khryi3	3	6	14	0	"[""藤田2018""]"	丘愧反		丘愧反		丘愧切				溪	至	去	U+559F
055A4-qhruang1	喤		qhruaŋ	qhruang1	1	39	6	2	"[""切三""]"	null		虎横反		虎横切				null	null	null	U+55A4
055A4-xruang1	喤		xruaŋ	xruang1	1	39	4	2	"[""切三""]"	胡盲反		胡盲反		户盲切				匣	庚	平	U+55A4
055A6-niep4	喦		niep	niep4	4	24	11	2	"[""切三""]"	null		而涉反		而涉切				null	null	null	U+55A6
055AC-grieu1	喬		grieu	grieu1	1	30	21	2	"[""切三""]"	巨朝反		奇驕反		巨嬌切				群	宵	平	U+55AC
055AC-khrieu1	喬		khrieu	khrieu1	1	30	null	2	"[""切三""]"	null		null		null		丘祅切		null	null	null	U+55AC
055AC-krieu1	喬		krieu	krieu1	1	30	7	2	"[""切三""]"	null		null		舉喬切				null	null	null	U+55AC
055AC-krieu2	喬		kriéu	krieu2	2	28	12	2	"[""切三""]"	null		null		null		舉夭切		見	小	上	U+55AC
055C7-sriwk4	嗇		sriək	sriwk4	4	29	17	0	"[""藤田2018""]"	所力反		所力反		所力切				生	職	入	U+55C7
055D2-thwp4	嗒		thəp	thwp4	4	21	4	2	"[""切三""]"	null		null		吐盍切				透	盍	入	U+55D2
055D2-twp4	嗒		təp	twp4	4	20	3	2	"[""切三""]"	null		null		都合切				null	null	null	U+55D2
055DF-cia1	嗟		cia	cia1	1	34	6	2	"[""切三""]"	子邪反		子邪反		子邪切				精	麻	平	U+55DF
055E4-thiw1	嗤		thiə	thiw1	1	7	19	2	"[""切三""]"	赤之反		赤之反		赤之切				昌	之	平	U+55E4
055E5-xau1	嗥		xau	xau1	1	32	1	2	"[""切三""]"	胡刀反		胡刀反		胡刀切				匣	豪	平	U+55E5
055F7-ngau1	嗷		ŋau	ngau1	1	32	13	2	"[""切三""]"	null		五勞反		五勞切				疑	豪	平	U+55F7
05605-khwi3	嘅		khə̂i	khwi3	3	19	7	0	"[""藤田2018""]"	null		苦愛反		苦蓋切	原作“苦愛切”。			null	null	null	U+5605
05606-than1	嘆		than	than1	1	24	25	2	"[""切三""]"	他單反		他單反		他干切				null	null	null	U+5606
05606-than3	嘆		thân	than3	3	27	13	3	"[""S6176r""]"	他半反		他半反		他旦切				透	翰	去	U+5606
05609-kra1	嘉		kra	kra1	1	34	13	2	"[""切三""]"	古牙反		古牙反		古牙切				見	麻	平	U+5609
0560E-kret4	嘎		kret	kret4	4	12	12	2	"[""切三""]"	null		null		古黠切				見	黠	入	U+560E
05629-xrua1	嘩		xrua	xrua1	1	34	9	2	"[""切三""]"	null		null		null		胡瓜切		匣	麻	平	U+5629
0562E-lau1	嘮		lau	lau1	1	32	3	2	"[""切三""]"	null		null		null		郎刀切		null	null	null	U+562E
0562E-thrau1	嘮		thrau	thrau1	1	31	null	2	"[""切三""]"	null		null		敕交切				null	null	null	U+562E
05630-kiwi1	嘰		kiəi	kiwi1	1	8	9	2	"[""切三""]"	居希反		居希反		居依切				見	微	平	U+5630
05636-sei1	嘶		sei	sei1	1	12	12	2	"[""切三""]"	索嵇反		素鷄反		先稽切				心	齊	平	U+5636
0563B-qhiw1	嘻		qhiə	qhiw1	1	7	15	2	"[""切三""]"	許其反		許其反		許其切				曉	之	平	U+563B
05642-cun2	噂		cún	cun2	2	20	5	1	"[""切一""]"	兹損反		兹損反		兹損切				精	混	上	U+5642
0564F-qhrip4	噏		qhrip	qhrip4	4	26	19	2	"[""切三"", ""P3799""]"	null		null		許及切				null	null	null	U+564F
0565E-ngriem2	噞		ŋriém	ngriem2	2	45	6	2	"[""切三""]"	null		魚檢反		魚檢切				疑	琰	上	U+565E
0565E-ngriem3	噞		ŋriêm	ngriem3	3	50	6	2	"[""P3694r""]"	語窆反		語窆反		魚窆切				null	null	null	U+565E
05664-grim2	噤		grím	grim2	2	44	16	2	"[""切三""]"	渠飲反		渠飲反		渠飲切				null	null	null	U+5664
05664-grim3	噤		grîm	grim3	3	49	6	2	"[""P3694r""]"	null		巨禁反		巨禁切				群	沁	去	U+5664
05666-qhuai3	噦		qhuâi	qhuai3	3	12	15	0	"[""藤田2018""]"	虎外反		虎外反		呼會切				曉	泰	去	U+5666
05666-qryet4	噦		qryet	qryet4	4	15	18	2	"[""切三""]"	〼〼〼	薛韵乙劣反。《切三》薛韵脱反脱字，《藤田2018》乙劣反。	乙劣反	薛韵乙劣反。	乙劣切				null	null	null	U+5666
05666-qyat4	噦		qyat	qyat4	4	9	5	2	"[""切三"", ""P3694v""]"	乙劣反	月韵乙劣反。《切三》：“此字亦入薛部。”《P3694v》脱“入”字。	乙劣反	月韵乙劣反。《王三》：“此字亦入薛部（原誤作‘字此……’）。”《王一》不明。	於月切				影	月	入	U+5666
05668-khri3	器		khrî	khri3	3	6	35	0	"[""藤田2018""]"	去冀反		去冀反		去冀切				溪	至	去	U+5668
0566B-qiw1	噫		qiə	qiw1	1	7	16	2	"[""切三""]"	於其反		於其反		於其切				影	之	平	U+566B
0566B-qiw3	噫		qiə̂	qiw3	3	7	20	0	"[""藤田2018""]"	null		null		null		於記切		null	null	null	U+566B
0566B-qiwk4	噫		qiək	qiwk4	4	29	null	0	"[""藤田2018""]"	null		null		null		乙力切		影	職	入	U+566B
0566B-qrei3	噫		qrêi	qrei3	3	16	2	3	"[""P3696(1)v""]"	烏界反		烏界反		烏界切				影	怪	去	U+566B
0566C-diei3	噬		diêi	diei3	3	14	20	3	"[""P3696(1)v""]"	時制反		時制反		時制切				禪	祭	去	U+566C
05672-khruai3	噲		khruâi	khruai3	3	17	2	3	"[""P3696(1)v""]"	苦夬反		苦夬反		苦夬切				溪	夬	去	U+5672
05673-ngyo2	噳		ŋyó	ngyo2	2	9	1	2	"[""切三""]"	null		null		虞矩切				null	null	null	U+5673
05685-nyo1	嚅		nyo	nyo1	1	10	7	2	"[""切三""]"	日朱反		日朱反		人朱切				null	null	null	U+5685
05687-qhra3	嚇		qhrâ	qhra3	3	37	4	0	"[""藤田2018""]"	呼訝反		呼訝反		呼訝切				曉	禡	去	U+5687
05687-qhrak4	嚇		qhrak	qhrak4	4	19	21	2	"[""切三""]"	呼格反		呼格反		呼格切				曉	陌	入	U+5687
0568A-phryi3	嚊		phrŷi	phryi3	3	6	10	0	"[""藤田2018""]"	匹備反		匹備反		匹備切				滂	至	去	U+568A
0568F-tei3	嚏		têi	tei3	3	13	2	0	"[""藤田2018""]"	null		null		都計切				端	霽	去	U+568F
05695-lo1	嚕		lo	lo1	1	11	10	1	"[""P3695""]"	null		null		null		null		null	null	null	U+5695
05695-lo2	嚕		ló	lo2	2	10	4	2	"[""切三""]"	null		null		null		籠五切		來	姥	上	U+5695
0569A-ngrin1	嚚		ŋrin	ngrin1	1	17	26	2	"[""切三""]"	語巾反		語巾反		語巾切				疑	真	平	U+569A
056B3-khok4	嚳		khok	khok4	4	2	4	2	"[""切三""]"	苦沃反		苦沃反		苦沃切				溪	沃	入	U+56B3
056BC-dziak4	嚼		dziak	dziak4	4	27	17	0	"[""藤田2018""]"	在爵反		在爵反		在爵切				從	藥	入	U+56BC
056C2-ngau1	囂		ŋau	ngau1	1	32	13	2	"[""切三""]"	null		null		null		牛刀切		疑	豪	平	U+56C2
056C2-qhrieu1	囂		qhrieu	qhrieu1	1	30	5	2	"[""切三""]"	許■反	《藤田2018》許喬反。	許喬反		許嬌切				曉	宵	平	U+56C2
056C8-ngiei3	囈		ŋiêi	ngiei3	3	14	23	3	"[""P3696(1)v""]"	null		null		魚祭切				疑	祭	去	U+56C8
056CC-so1	囌		so	so1	1	11	11	1	"[""P3695""]"	null		null		null		null		null	null	null	U+56CC
056D7-xyui1	囗		xyui	xyui1	1	8	3	2	"[""切三""]"	null		null		雨非切				云	微	平	U+56D7
056DB-si3	四		sî	si3	3	6	34	0	"[""藤田2018""]"	息利反		息利反		息利切				心	至	去	U+56DB
056DE-xui1	回		xui	xui1	1	15	4	2	"[""切三""]"	户恢反		户恢反		户恢切				匣	灰	平	U+56DE
056E0-qin1	因		qin	qin1	1	17	9	2	"[""切三""]"	於鄰反		於鄰反		於真切				影	真	平	U+56E0
056E4-dun2	囤		dún	dun2	2	20	7	1	"[""切一""]"	徒損反		徒損反		徒損反				null	null	null	U+56E4
056EE-jyu1	囮		jyu	jyu1	1	43	5	2	"[""切三""]"	null		以周反		以周切				null	null	null	U+56EE
056EE-ngua1	囮		ŋua	ngua1	1	33	7	2	"[""切三""]"	五和反		五和反		五禾切				疑	戈	平	U+56EE
