pieutiwbyo	zyokdziw	tiengdziw	thongqitmraZyokdziw	thongqitmraTiengdziw
05EA605EA6	度	度	U+5EA6	U+5EA6
05EAB05EAB	庫	庫	U+5EAB	U+5EAB
05EB605EB6	庶	庶	U+5EB6	U+5EB6
05EB705EB7	康	康	U+5EB7	U+5EB7
05EB805EB8	庸	庸	U+5EB8	U+5EB8
05EBD05EBD	庽	庽	U+5EBD	U+5EBD
05EBE05EBE	庾	庾	U+5EBE	U+5EBE
05EC2053A2	廂	厢	U+5EC2	U+53A2
05EC4053A9	廄	厩	U+5EC4	U+53A9
05ECA05ECA	廊	廊	U+5ECA	U+5ECA
05ECF053A9	廏	厩	U+5ECF	U+53A9
05ED0053A9	廐	厩	U+5ED0	U+53A9
05ED305ED3	廓	廓	U+5ED3	U+5ED3
05ED505ED5	廕	廕	U+5ED5	U+5ED5
05EDA053A8	廚	厨	U+5EDA	U+53A8
05EDB05EDB	廛	廛	U+5EDB	U+5EDB
05EE305EE3	廣	廣	U+5EE3	U+5EE3
05EE705EE7	廧	廧	U+5EE7	U+5EE7
05EE905EEA	廩	廪	U+5EE9	U+5EEA
05EEA05EEA	廪	廪	U+5EEA	U+5EEA
05EF105EF1	廱	廱	U+5EF1	U+5EF1
05EF405EF4	廴	廴	U+5EF4	U+5EF4
05EF505DE1	廵	巡	U+5EF5	U+5DE1
05EF605EF6	延	延	U+5EF6	U+5EF6
05EFA05EFA	建	建	U+5EFA	U+5EFA
05EFB05EFB	廻	廻	U+5EFB	U+5EFB
05EFD05EFB	廽	廻	U+5EFD	U+5EFB
05EFE05EFE	廾	廾	U+5EFE	U+5EFE
05EFF05EFF	廿	廿	U+5EFF	U+5EFF
05F0005F00	开	开	U+5F00	U+5F00
05F000958B	开	開	U+5F00	U+958B
05F0207570	异	異	U+5F02	U+7570
05F0305F03	弃	弃	U+5F03	U+5F03
05F03068C4	弃	棄	U+5F03	U+68C4
05F0405F04	弄	弄	U+5F04	U+5F04
05F0408856	弄	衖	U+5F04	U+8856
05F0805F08	弈	弈	U+5F08	U+5F08
05F0C05F0C	弌	弌	U+5F0C	U+5F0C
05F0D05F0D	弍	弍	U+5F0D	U+5F0D
05F0E05F0E	弎	弎	U+5F0E	U+5F0E
05F1008CB3	弐	貳	U+5F10	U+8CB3
05F1305F13	弓	弓	U+5F13	U+5F13
05F1505F15	引	引	U+5F15	U+5F15
05F1805F18	弘	弘	U+5F18	U+5F18
05F2005F35	张	張	U+5F20	U+5F35
05F2605F26	弦	弦	U+5F26	U+5F26
05F2607D43	弦	絃	U+5F26	U+7D43
05F2705F27	弧	弧	U+5F27	U+5F27
05F2905F29	弩	弩	U+5F29	U+5F29
05F3105F31	弱	弱	U+5F31	U+5F31
05F3505F35	張	張	U+5F35	U+5F35
05F3605F36	弶	弶	U+5F36	U+5F36
05F3705F3A	強	强	U+5F37	U+5F3A
05F3A05F3A	强	强	U+5F3A	U+5F3A
05F3A05F4A	强	彊	U+5F3A	U+5F4A
05F4905F49	彉	彉	U+5F49	U+5F49
05F4905F4D	彉	彍	U+5F49	U+5F4D
05F4A05F4A	彊	彊	U+5F4A	U+5F4A
05F4D05F49	彍	彉	U+5F4D	U+5F49
05F5005F50	彐	彐	U+5F50	U+5F50
05F5105F50	彑	彐	U+5F51	U+5F50
05F5206B78	归	歸	U+5F52	U+6B78
05F5605F56	彖	彖	U+5F56	U+5F56
05F5805F58	彘	彘	U+5F58	U+5F58
05F5905F59	彙	彙	U+5F59	U+5F59
05F5A05F59	彚	彙	U+5F5A	U+5F59
05F5D05F5D	彝	彝	U+5F5D	U+5F5D
05F6105F61	彡	彡	U+5F61	U+5F61
05F6205F62	形	形	U+5F62	U+5F62
05F6405F64	彤	彤	U+5F64	U+5F64
05F6505F66	彥	彦	U+5F65	U+5F66
05F6605F66	彦	彦	U+5F66	U+5F66
05F6B05F6B	彫	彫	U+5F6B	U+5F6B
05F6C05F6C	彬	彬	U+5F6C	U+5F6C
05F7105F71	影	影	U+5F71	U+5F71
05F7305F73	彳	彳	U+5F73	U+5F73
05F7605F76	彶	彶	U+5F76	U+5F76
05F7705F77	彷	彷	U+5F77	U+5F77
05F8005F80	往	往	U+5F80	U+5F80
05F8105F81	征	征	U+5F81	U+5F81
05F8505F85	待	待	U+5F85	U+5F85
05F8A05F8A	徊	徊	U+5F8A	U+5F8A
05F8B05F8B	律	律	U+5F8B	U+5F8B
05F8C05F8C	後	後	U+5F8C	U+5F8C
05F9005F90	徐	徐	U+5F90	U+5F90
05F9205F92	徒	徒	U+5F92	U+5F92
05F9305F9E	従	從	U+5F93	U+5F9E
05F9505FA0	徕	徠	U+5F95	U+5FA0
05F9705F97	得	得	U+5F97	U+5F97
05F9E05F9E	從	從	U+5F9E	U+5F9E
05FA005FA0	徠	徠	U+5FA0	U+5FA0
05FA105FA1	御	御	U+5FA1	U+5FA1
05FA1079A6	御	禦	U+5FA1	U+79A6
05FA805FA8	徨	徨	U+5FA8	U+5FA8
05FAC05FAC	徬	徬	U+5FAC	U+5FAC
05FB305FB7	徳	德	U+5FB3	U+5FB7
05FB705FB7	德	德	U+5FB7	U+5FB7
05FB7060EA	德	惪	U+5FB7	U+60EA
05FC305FC3	心	心	U+5FC3	U+5FC3
05FC505FC5	必	必	U+5FC5	U+5FC5
05FC6061B6	忆	憶	U+5FC6	U+61B6
05FCC05FCC	忌	忌	U+5FCC	U+5FCC
05FD405FD4	忔	忔	U+5FD4	U+5FD4
05FD605FD6	忖	忖	U+5FD6	U+5FD6
05FD705FD7	志	志	U+5FD7	U+5FD7
05FD708A8C	志	誌	U+5FD7	U+8A8C
05FD805FD8	忘	忘	U+5FD8	U+5FD8
05FD905FD9	忙	忙	U+5FD9	U+5FD9
05FDD05FDD	忝	忝	U+5FDD	U+5FDD
05FE005FE0	忠	忠	U+5FE0	U+5FE0
05FE105FE1	忡	忡	U+5FE1	U+5FE1
05FE40554E	忤	啎	U+5FE4	U+554E
05FE405FE4	忤	忤	U+5FE4	U+5FE4
05FE705FE7	忧	忧	U+5FE7	U+5FE7
05FE706182	忧	憂	U+5FE7	U+6182
05FEB05FEB	快	快	U+5FEB	U+5FEB
05FEE05FEE	忮	忮	U+5FEE	U+5FEE
05FF505538	念	唸	U+5FF5	U+5538
05FF505FF5	念	念	U+5FF5	U+5FF5
05FFB05FFB	忻	忻	U+5FFB	U+5FFB
05FFD05FFD	忽	忽	U+5FFD	U+5FFD
05FFE05FD4	忾	忔	U+5FFE	U+5FD4
05FFE0613E	忾	愾	U+5FFE	U+613E
06005060B5	怅	悵	U+6005	U+60B5
0601206012	怒	怒	U+6012	U+6012
0601406014	怔	怔	U+6014	U+6014
0601506015	怕	怕	U+6015	U+6015
0601906019	怙	怙	U+6019	U+6019
0601B0601B	怛	怛	U+601B	U+601B
0601D0601D	思	思	U+601D	U+601D
0602506025	急	急	U+6025	U+6025
0602706027	性	性	U+6027	U+6027
0602A0602A	怪	怪	U+602A	U+602A
0602C0602C	怬	怬	U+602C	U+602C
0603306033	怳	怳	U+6033	U+6033
0603506035	怵	怵	U+6035	U+6035
0603C061DF	怼	懟	U+603C	U+61DF
0604306043	恃	恃	U+6043	U+6043
0604606052	恆	恒	U+6046	U+6052
0604706047	恇	恇	U+6047	U+6047
0604D06033	恍	怳	U+604D	U+6033
0604D0604D	恍	恍	U+604D	U+604D
0605006050	恐	恐	U+6050	U+6050
0605206052	恒	恒	U+6052	U+6052
0605406054	恔	恔	U+6054	U+6054
0605506055	恕	恕	U+6055	U+6055
0605F0605F	恟	恟	U+605F	U+605F
060600602A	恠	怪	U+6060	U+602A
0606206062	恢	恢	U+6062	U+6062
0606306063	恣	恣	U+6063	U+6063
060650803B	恥	耻	U+6065	U+803B
0606906069	恩	恩	U+6069	U+6069
0606A0606A	恪	恪	U+606A	U+606A
0606B0606B	恫	恫	U+606B	U+606B
0606C0606C	恬	恬	U+606C	U+606C
0606D0606D	恭	恭	U+606D	U+606D
0606F0606F	息	息	U+606F	U+606F
0607006070	恰	恰	U+6070	U+6070
06071060A6	恱	悦	U+6071	U+60A6
0607A06137	恺	愷	U+607A	U+6137
0607F0607F	恿	恿	U+607F	U+607F
0607F06142	恿	慂	U+607F	U+6142
0608306083	悃	悃	U+6083	U+6083
0608406084	悄	悄	U+6084	U+6084
06085060A6	悅	悦	U+6085	U+60A6
0608B0541D	悋	吝	U+608B	U+541D
0608D0608D	悍	悍	U+608D	U+608D
0609206092	悒	悒	U+6092	U+6092
0609B0609B	悛	悛	U+609B	U+609B
0609D0609D	悝	悝	U+609D	U+609D
0609E060AE	悞	悮	U+609E	U+60AE
0609F0609F	悟	悟	U+609F	U+609F
060A0060A0	悠	悠	U+60A0	U+60A0
060A2060A2	悢	悢	U+60A2	U+60A2
060A3060A3	患	患	U+60A3	U+60A3
060A6060A6	悦	悦	U+60A6	U+60A6
060AB06164	悫	慤	U+60AB	U+6164
060AD06173	悭	慳	U+60AD	U+6173
060AE060AE	悮	悮	U+60AE	U+60AE
060AF061AB	悯	憫	U+60AF	U+61AB
060B3060EA	悳	惪	U+60B3	U+60EA
060B5060B5	悵	悵	U+60B5	U+60B5
060B6060B6	悶	悶	U+60B6	U+60B6
060B8060B8	悸	悸	U+60B8	U+60B8
060BC060BC	悼	悼	U+60BC	U+60BC
060BE060BE	悾	悾	U+60BE	U+60BE
060C5060C5	情	情	U+60C5	U+60C5
060C6060C6	惆	惆	U+60C6	U+60C6
060CA09A5A	惊	驚	U+60CA	U+9A5A
060CF060CF	惏	惏	U+60CF	U+60CF
060D5060D5	惕	惕	U+60D5	U+60D5
060D8060D8	惘	惘	U+60D8	U+60D8
060DA060DA	惚	惚	U+60DA	U+60DA
060DC060DC	惜	惜	U+60DC	U+60DC
060DF060DF	惟	惟	U+60DF	U+60DF
060E7060E7	惧	惧	U+60E7	U+60E7
060E7061FC	惧	懼	U+60E7	U+61FC
060EA060EA	惪	惪	U+60EA	U+60EA
060EC0611C	惬	愜	U+60EC	U+611C
060EF06163	惯	慣	U+60EF	U+6163
060F3060F3	想	想	U+60F3	U+60F3
060F5060F5	惵	惵	U+60F5	U+60F5
060F6060F6	惶	惶	U+60F6	U+60F6
060FA060FA	惺	惺	U+60FA	U+60FA
0610006100	愀	愀	U+6100	U+6100
0610106101	愁	愁	U+6101	U+6101
0610F0610F	意	意	U+610F	U+610F
0611406114	愔	愔	U+6114	U+6114
0611A0611A	愚	愚	U+611A	U+611A
0611B0611B	愛	愛	U+611B	U+611B
0611C0611C	愜	愜	U+611C	U+611C
0612606192	愦	憒	U+6126	U+6192
0612806164	愨	慤	U+6128	U+6164
0613706137	愷	愷	U+6137	U+6137
0613A0613A	愺	愺	U+613A	U+613A
0613C0614E	愼	慎	U+613C	U+614E
0613E0613E	愾	愾	U+613E	U+613E
0613F0613F	愿	愿	U+613F	U+613F
0613F09858	愿	願	U+613F	U+9858
0614206142	慂	慂	U+6142	U+6142
0614406144	慄	慄	U+6144	U+6144
0614806148	慈	慈	U+6148	U+6148
0614A0614A	慊	慊	U+614A	U+614A
0614C0614C	慌	慌	U+614C	U+614C
0614E0614E	慎	慎	U+614E	U+614E
0616306163	慣	慣	U+6163	U+6163
0616406164	慤	慤	U+6164	U+6164
0616506165	慥	慥	U+6165	U+6165
0616805605	慨	嘅	U+6168	U+5605
0616806168	慨	慨	U+6168	U+6168
0617006170	慰	慰	U+6170	U+6170
0617106171	慱	慱	U+6171	U+6171
0617306173	慳	慳	U+6173	U+6173
0617506175	慵	慵	U+6175	U+6175
0617606176	慶	慶	U+6176	U+6176
0617706177	慷	慷	U+6177	U+6177
0618206182	憂	憂	U+6182	U+6182
06187061A9	憇	憩	U+6187	U+61A9
0619206192	憒	憒	U+6192	U+6192
061A9061A9	憩	憩	U+61A9	U+61A9
061AB061AB	憫	憫	U+61AB	U+61AB
061AC061AC	憬	憬	U+61AC	U+61AC
061B2061B2	憲	憲	U+61B2	U+61B2
061B6061B6	憶	憶	U+61B6	U+61B6
061BE061BE	憾	憾	U+61BE	U+61BE
061C2061C2	懂	懂	U+61C2	U+61C2
061C3061C3	懃	懃	U+61C3	U+61C3
061CD061D4	懍	懔	U+61CD	U+61D4
061D205B3E	懒	嬾	U+61D2	U+5B3E
061D2061F6	懒	懶	U+61D2	U+61F6
061D4061D4	懔	懔	U+61D4	U+61D4
061DF061DF	懟	懟	U+61DF	U+61DF
061E5061E5	懥	懥	U+61E5	U+61E5
061F605B3E	懶	嬾	U+61F6	U+5B3E
061F6061F6	懶	懶	U+61F6	U+61F6
061FC061FC	懼	懼	U+61FC	U+61FC
0620906209	戉	戉	U+6209	U+6209
0620C0620C	戌	戌	U+620C	U+620C
0621006210	成	成	U+6210	U+6210
0621106211	我	我	U+6211	U+6211
0621206212	戒	戒	U+6212	U+6212
0621506215	戕	戕	U+6215	U+6215
0621A0621A	戚	戚	U+621A	U+621A
0621B0621B	戛	戛	U+621B	U+621B
0621E0621B	戞	戛	U+621E	U+621B
0621F0621F	戟	戟	U+621F	U+621F
0623606237	戶	户	U+6236	U+6237
0623706237	户	户	U+6237	U+6237
0623806237	戸	户	U+6238	U+6237
0623B0623B	戻	戻	U+623B	U+623B
0623D0623D	戽	戽	U+623D	U+623D
0623F0623F	房	房	U+623F	U+623F
0624006240	所	所	U+6240	U+6240
0624606246	扆	扆	U+6246	U+6246
0624706247	扇	扇	U+6247	U+6247
0624806248	扈	扈	U+6248	U+6248
0624B0624B	手	手	U+624B	U+624B
0624D0624D	才	才	U+624D	U+624D
0624E0624E	扎	扎	U+624E	U+624E
0624E07D2E	扎	紮	U+624E	U+7D2E
0625006250	扐	扐	U+6250	U+6250
0625206252	扒	扒	U+6252	U+6252
0625306253	打	打	U+6253	U+6253
0625B0625B	扛	扛	U+625B	U+625B
0625E0625E	扞	扞	U+625E	U+625E
0626206262	扢	扢	U+6262	U+6262
0626306263	扣	扣	U+6263	U+6263
06263091E6	扣	釦	U+6263	U+91E6
06267057F7	执	執	U+6267	U+57F7
06269064F4	扩	擴	U+6269	U+64F4
0626A0636B	扪	捫	U+626A	U+636B
0626B06383	扫	掃	U+626B	U+6383
0626C063DA	扬	揚	U+626C	U+63DA
0626C098BA	扬	颺	U+626C	U+98BA
0626D0626D	扭	扭	U+626D	U+626D
0626F0626F	扯	扯	U+626F	U+626F
0626F064A6	扯	撦	U+626F	U+64A6
06270064FE	扰	擾	U+6270	U+64FE
0627106271	扱	扱	U+6271	U+6271
0627F0627F	承	承	U+627F	U+627F
0628006280	技	技	U+6280	U+6280
0628406284	抄	抄	U+6284	U+6284
0628606286	抆	抆	U+6286	U+6286
0629106291	抑	抑	U+6291	U+6291
0629206292	抒	抒	U+6292	U+6292
0629506295	投	投	U+6295	U+6295
0629606296	抖	抖	U+6296	U+6296
0629806298	折	折	U+6298	U+6298
062A505831	报	報	U+62A5	U+5831
062B1062B1	抱	抱	U+62B1	U+62B1
062B4062B4	抴	抴	U+62B4	U+62B4
062B6062B6	抶	抶	U+62B6	U+62B6
062BD062BD	抽	抽	U+62BD	U+62BD
062C5062C5	担	担	U+62C5	U+62C5
062C9062C9	拉	拉	U+62C9	U+62C9
062CC062CC	拌	拌	U+62CC	U+62CC
062CD062CD	拍	拍	U+62CD	U+62CD
062CF062CF	拏	拏	U+62CF	U+62CF
062D2062D2	拒	拒	U+62D2	U+62D2
062D3062D3	拓	拓	U+62D3	U+62D3
062D8062D8	拘	拘	U+62D8	U+62D8
062D9062D9	拙	拙	U+62D9	U+62D9
062DC062DC	拜	拜	U+62DC	U+62DC
062DD062DC	拝	拜	U+62DD	U+62DC
062DF064EC	拟	擬	U+62DF	U+64EC
062E1064F4	拡	擴	U+62E1	U+64F4
062E5064C1	拥	擁	U+62E5	U+64C1
062E606514	拦	攔	U+62E6	U+6514
062EC062EC	括	括	U+62EC	U+62EC
062EE062EE	拮	拮	U+62EE	U+62EE
062F1062F1	拱	拱	U+62F1	U+62F1
062F4062F4	拴	拴	U+62F4	U+62F4
062F6062F6	拶	拶	U+62F6	U+62F6
062FD062FD	拽	拽	U+62FD	U+62FD
062FE062FE	拾	拾	U+62FE	U+62FE
062FF062CF	拿	拏	U+62FF	U+62CF
062FF062FF	拿	拿	U+62FF	U+62FF
062FF06310	拿	挐	U+62FF	U+6310
0630106301	持	持	U+6301	U+6301
063020639B	挂	掛	U+6302	U+639B
0630306303	挃	挃	U+6303	U+6303
0630906309	按	按	U+6309	U+6309
0630D06821	挍	校	U+630D	U+6821
0631006310	挐	挐	U+6310	U+6310
0633906339	挹	挹	U+6339	U+6339
0633F063D2	挿	插	U+633F	U+63D2
0634206342	捂	捂	U+6342	U+6342
0634306343	捃	捃	U+6343	U+6343
0634406344	捄	捄	U+6344	U+6344
0634506345	捅	捅	U+6345	U+6345
0634906349	捉	捉	U+6349	U+6349
0634D0625E	捍	扞	U+634D	U+625E
0634D0634D	捍	捍	U+634D	U+634D
0634E0634E	捎	捎	U+634E	U+634E
0634F0634F	捏	捏	U+634F	U+634F
0635006350	捐	捐	U+6350	U+6350
0635706357	捗	捗	U+6357	U+6357
0635C0641C	捜	搜	U+635C	U+641C
0635E06488	捞	撈	U+635E	U+6488
0635F0640D	损	損	U+635F	U+640D
06361064BF	捡	撿	U+6361	U+64BF
0636606366	捦	捦	U+6366	U+6366
0636806368	捨	捨	U+6368	U+6368
0636B0636B	捫	捫	U+636B	U+636B
0636E0636E	据	据	U+636E	U+636E
0637606425	捶	搥	U+6376	U+6425
0637B0637B	捻	捻	U+637B	U+637B
0638306383	掃	掃	U+6383	U+6383
0638806388	授	授	U+6388	U+6388
0638F0638F	掏	掏	U+638F	U+638F
0639606396	掖	掖	U+6396	U+6396
0639806398	掘	掘	U+6398	U+6398
0639B0639B	掛	掛	U+639B	U+639B
0639F0639F	掟	掟	U+639F	U+639F
063A0063A0	掠	掠	U+63A0	U+63A0
063A7063A7	控	控	U+63A7	U+63A7
063BC0645C	掼	摜	U+63BC	U+645C
063C5063C5	揅	揅	U+63C5	U+63C5
063D10634F	揑	捏	U+63D1	U+634F
063D2063D2	插	插	U+63D2	U+63D2
063DA063DA	揚	揚	U+63DA	U+63DA
063DA098BA	揚	颺	U+63DA	U+98BA
063E2063E2	揢	揢	U+63E2	U+63E2
063F2063F2	揲	揲	U+63F2	U+63F2
063F4063F4	援	援	U+63F4	U+63F4
063F7063D2	揷	插	U+63F7	U+63D2
063FD0652C	揽	攬	U+63FD	U+652C
064050652A	搅	攪	U+6405	U+652A
0640D0640D	損	損	U+640D	U+640D
0641206412	搒	搒	U+6412	U+6412
0641306413	搓	搓	U+6413	U+6413
0641C0641C	搜	搜	U+641C	U+641C
0642506425	搥	搥	U+6425	U+6425
0642A0642A	搪	搪	U+642A	U+642A
0642D0642D	搭	搭	U+642D	U+642D
0643006430	搰	搰	U+6430	U+6430
0643406434	搴	搴	U+6434	U+6434
0644A06524	摊	攤	U+644A	U+6524
0645C0645C	摜	摜	U+645C	U+645C
0646B0646B	摫	摫	U+646B	U+646B
0646D0646D	摭	摭	U+646D	U+646D
0647C0647C	摼	摼	U+647C	U+647C
0648506485	撅	撅	U+6485	U+6485
0648806488	撈	撈	U+6488	U+6488
0648A0648A	撊	撊	U+648A	U+648A
0649906499	撙	撙	U+6499	U+6499
0649D0649D	撝	撝	U+649D	U+649D
0649F0649F	撟	撟	U+649F	U+649F
064A6064A6	撦	撦	U+64A6	U+64A6
064B7064F7	撷	擷	U+64B7	U+64F7
064B90652A	撹	攪	U+64B9	U+652A
064BF064BF	撿	撿	U+64BF	U+64BF
064C0064C0	擀	擀	U+64C0	U+64C0
064C1064C1	擁	擁	U+64C1	U+64C1
064C5064C5	擅	擅	U+64C5	U+64C5
064CE064CE	擎	擎	U+64CE	U+64CE
064D2064D2	擒	擒	U+64D2	U+64D2
064E1064E1	擡	擡	U+64E1	U+64E1
064E2064E2	擢	擢	U+64E2	U+64E2
064E50652C	擥	攬	U+64E5	U+652C
064EC064EC	擬	擬	U+64EC	U+64EC
064F4064F4	擴	擴	U+64F4	U+64F4
064F7064F7	擷	擷	U+64F7	U+64F7
064FE064FE	擾	擾	U+64FE	U+64FE
0651006434	攐	搴	U+6510	U+6434
0651306434	攓	搴	U+6513	U+6434
0651406514	攔	攔	U+6514	U+6514
0652406524	攤	攤	U+6524	U+6524
0652A0652A	攪	攪	U+652A	U+652A
0652C0652C	攬	攬	U+652C	U+652C
0652F0652F	支	支	U+652F	U+652F
0653606536	收	收	U+6536	U+6536
0653806538	攸	攸	U+6538	U+6538
0653906539	改	改	U+6539	U+6539
0653B0653B	攻	攻	U+653B	U+653B
0653E0653E	放	放	U+653E	U+653E
0653F0653F	政	政	U+653F	U+653F
0654206542	敂	敂	U+6542	U+6542
0654506545	故	故	U+6545	U+6545
065480509A	效	傚	U+6548	U+509A
0654806548	效	效	U+6548	U+6548
0654906549	敉	敉	U+6549	U+6549
0654D053D9	敍	叙	U+654D	U+53D9
0654E06559	敎	教	U+654E	U+6559
0655106344	救	捄	U+6551	U+6344
0655106551	救	救	U+6551	U+6551
0655406554	敔	敔	U+6554	U+6554
06555052D1	敕	勑	U+6555	U+52D1
0655506555	敕	敕	U+6555	U+6555
0655606556	敖	敖	U+6556	U+6556
0655706557	敗	敗	U+6557	U+6557
06558053D9	敘	叙	U+6558	U+53D9
0655906559	教	教	U+6559	U+6559
0655B06582	敛	斂	U+655B	U+6582
0655B06B5B	敛	歛	U+655B	U+6B5B
0656206562	敢	敢	U+6562	U+6562
0656306563	散	散	U+6563	U+6563
0656606566	敦	敦	U+6566	U+6566
0656906586	敩	斆	U+6569	U+6586
0656C0656C	敬	敬	U+656C	U+656C
0656D063DA	敭	揚	U+656D	U+63DA
0657406574	整	整	U+6574	U+6574
0657706577	敷	敷	U+6577	U+6577
0658206582	斂	斂	U+6582	U+6582
0658206B5B	斂	歛	U+6582	U+6B5B
0658506586	斅	斆	U+6585	U+6586
0658606586	斆	斆	U+6586	U+6586
0658706587	文	文	U+6587	U+6587
0658909F4A	斉	齊	U+6589	U+9F4A
0658C0658C	斌	斌	U+658C	U+658C
0659106591	斑	斑	U+6591	U+6591
0659706597	斗	斗	U+6597	U+6597
0659709B25	斗	鬥	U+6597	U+9B25
0659709B2D	斗	鬭	U+6597	U+9B2D
0659906599	料	料	U+6599	U+6599
0659B0659B	斛	斛	U+659B	U+659B
0659C0659C	斜	斜	U+659C	U+659C
065A4065A4	斤	斤	U+65A4	U+65A4
065A5065A5	斥	斥	U+65A5	U+65A5
065A8065A8	斨	斨	U+65A8	U+65A8
065A9065AC	斩	斬	U+65A9	U+65AC
065AB065AB	斫	斫	U+65AB	U+65AB
065AB065B2	斫	斲	U+65AB	U+65B2
065AC065AC	斬	斬	U+65AC	U+65AC
065B0065B0	新	新	U+65B0	U+65B0
065B2065B2	斲	斲	U+65B2	U+65B2
065B9065B9	方	方	U+65B9	U+65B9
065C1065C1	旁	旁	U+65C1	U+65C1
065C2065C2	旂	旂	U+65C2	U+65C2
065C3065C3	旃	旃	U+65C3	U+65C3
065C5065C5	旅	旅	U+65C5	U+65C5
065CB065CB	旋	旋	U+65CB	U+65CB
065CC065CC	旌	旌	U+65CC	U+65CC
065CF065CF	族	族	U+65CF	U+65CF
065D1065D6	旑	旖	U+65D1	U+65D6
065D3065D3	旓	旓	U+65D3	U+65D3
065D6065D6	旖	旖	U+65D6	U+65D6
065D7065C2	旗	旂	U+65D7	U+65C2
065D7065D7	旗	旗	U+65D7	U+65D7
065DD065DD	旝	旝	U+65DD	U+65DD
065E2065E2	既	既	U+65E2	U+65E2
065E3065E2	旣	既	U+65E3	U+65E2
065E5065E5	日	日	U+65E5	U+65E5
065E6065E6	旦	旦	U+65E6	U+65E6
065E70820A	旧	舊	U+65E7	U+820A
065E8065E8	旨	旨	U+65E8	U+65E8
065E9065E9	早	早	U+65E9	U+65E9
065EC065EC	旬	旬	U+65EC	U+65EC
065ED065ED	旭	旭	U+65ED	U+65ED
065F0065F0	旰	旰	U+65F0	U+65F0
065F1065F1	旱	旱	U+65F1	U+65F1
065F4065F4	旴	旴	U+65F4	U+65F4
065F606642	时	時	U+65F6	U+6642
065F7066E0	旷	曠	U+65F7	U+66E0
065F806698	旸	暘	U+65F8	U+6698
065FA065FA	旺	旺	U+65FA	U+65FA
065FB065FB	旻	旻	U+65FB	U+65FB
065FC065FC	旼	旼	U+65FC	U+65FC
0660306603	昃	昃	U+6603	U+6603
0660605D11	昆	崑	U+6606	U+5D11
0660606606	昆	昆	U+6606	U+6606
0660706607	昇	昇	U+6607	U+6607
0660806608	昈	昈	U+6608	U+6608
0660906609	昉	昉	U+6609	U+6609
0660A0660A	昊	昊	U+660A	U+660A
0661206612	昒	昒	U+6612	U+6612
0661306613	易	易	U+6613	U+6613
0661406614	昔	昔	U+6614	U+6614
06619066C7	昙	曇	U+6619	U+66C7
0661C0661C	昜	昜	U+661C	U+661C
0661F0661F	星	星	U+661F	U+661F
0662506625	春	春	U+6625	U+6625
0662B0662B	昫	昫	U+662B	U+662B
0662F0662F	是	是	U+662F	U+662F
0663106631	昱	昱	U+6631	U+6631
0663306633	昳	昳	U+6633	U+6633
0663C0665D	昼	晝	U+663C	U+665D
0663E0986F	显	顯	U+663E	U+986F
0664206642	時	時	U+6642	U+6642
0664306643	晃	晃	U+6643	U+6643
0664406643	晄	晃	U+6644	U+6643
0664806648	晈	晈	U+6648	U+6648
06654066C4	晔	曄	U+6654	U+66C4
0665506688	晕	暈	U+6655	U+6688
0665B0665B	晛	晛	U+665B	U+665B
0665C0665C	晜	晜	U+665C	U+665C
0665D0665D	晝	晝	U+665D	U+665D
0665F0665F	晟	晟	U+665F	U+665F
0666406664	晤	晤	U+6664	U+6664
0666606666	晦	晦	U+6666	U+6666
0666E0666E	普	普	U+666E	U+666E
0666F0666F	景	景	U+666F	U+666F
0667406674	晴	晴	U+6674	U+6674
0667606676	晶	晶	U+6676	U+6676
0667706677	晷	晷	U+6677	U+6677
0668806688	暈	暈	U+6688	U+6688
0669106691	暑	暑	U+6691	U+6691
0669706697	暗	暗	U+6697	U+6697
06697095C7	暗	闇	U+6697	U+95C7
0669806698	暘	暘	U+6698	U+6698
066A2066A2	暢	暢	U+66A2	U+66A2
066A4066A4	暤	暤	U+66A4	U+66A4
066A6066C6	暦	曆	U+66A6	U+66C6
066AD066A4	暭	暤	U+66AD	U+66A4
066B5066B5	暵	暵	U+66B5	U+66B5
066B9066B9	暹	暹	U+66B9	U+66B9
066C0066C0	曀	曀	U+66C0	U+66C0
066C4066C4	曄	曄	U+66C4	U+66C4
066C5066C4	曅	曄	U+66C5	U+66C4
066C6053A4	曆	厤	U+66C6	U+53A4
066C6066C6	曆	曆	U+66C6	U+66C6
066C7066C7	曇	曇	U+66C7	U+66C7
066CD066A4	曍	暤	U+66CD	U+66A4
066D1053C3	曑	參	U+66D1	U+53C3
066D9066D9	曙	曙	U+66D9	U+66D9
066DC066DC	曜	曜	U+66DC	U+66DC
066E0066E0	曠	曠	U+66E0	U+66E0
066E1053E0	曡	叠	U+66E1	U+53E0
066E6066E6	曦	曦	U+66E6	U+66E6
066F0066F0	曰	曰	U+66F0	U+66F0
066F2066F2	曲	曲	U+66F2	U+66F2
066F3066F3	曳	曳	U+66F3	U+66F3
066F4066F4	更	更	U+66F4	U+66F4
066F606612	曶	昒	U+66F6	U+6612
066F8066F8	書	書	U+66F8	U+66F8
066F9066F9	曹	曹	U+66F9	U+66F9
066FA066F9	曺	曹	U+66FA	U+66F9
066FD066FE	曽	曾	U+66FD	U+66FE
066FE066FE	曾	曾	U+66FE	U+66FE
066FF066FF	替	替	U+66FF	U+66FF
0670306703	會	會	U+6703	U+6703
0670806708	月	月	U+6708	U+6708
0670906709	有	有	U+6709	U+6709
