pieutiwbyo	dziwbyo	dziwbyoNguaidziw	thongqitmra
05FA8	徨		U+5FA8
05FAC	徬		U+5FAC
05FB3	徳		U+5FB3
05FB7	德		U+5FB7
05FC6	忆		U+5FC6
05FCC	忌		U+5FCC
05FD4	忔		U+5FD4
05FD6	忖		U+5FD6
05FD7	志		U+5FD7
05FD8	忘		U+5FD8
05FD9	忙		U+5FD9
05FDD	忝		U+5FDD
05FE0	忠		U+5FE0
05FE1	忡		U+5FE1
05FE4	忤		U+5FE4
05FE7	忧		U+5FE7
05FF5	念		U+5FF5
05FFD	忽		U+5FFD
05FFE	忾		U+5FFE
06005	怅		U+6005
06012	怒		U+6012
06014	怔		U+6014
06015	怕		U+6015
06019	怙		U+6019
0601B	怛		U+601B
06025	急		U+6025
06027	性		U+6027
0602A	怪		U+602A
0602C	怬		U+602C
06033	怳		U+6033
06035	怵		U+6035
0603C	怼		U+603C
06043	恃		U+6043
06046	恆		U+6046
06047	恇		U+6047
0604D	恍		U+604D
06050	恐		U+6050
06054	恔		U+6054
06055	恕		U+6055
0605F	恟		U+605F
06060	恠		U+6060
06062	恢		U+6062
06065	恥		U+6065
0606A	恪		U+606A
0606B	恫		U+606B
0606C	恬		U+606C
0606D	恭		U+606D
06070	恰		U+6070
0607F	恿		U+607F
06083	悃		U+6083
06084	悄		U+6084
0608B	悋		U+608B
0608D	悍		U+608D
06092	悒		U+6092
0609B	悛		U+609B
0609D	悝		U+609D
0609E	悞		U+609E
0609F	悟		U+609F
060A2	悢		U+60A2
060A3	患		U+60A3
060AD	悭		U+60AD
060AE	悮		U+60AE
060AF	悯		U+60AF
060B3	悳		U+60B3
060B5	悵		U+60B5
060B6	悶		U+60B6
060B8	悸		U+60B8
060BE	悾		U+60BE
060C5	情		U+60C5
060C6	惆		U+60C6
060CA	惊		U+60CA
060CF	惏		U+60CF
060D8	惘		U+60D8
060DA	惚		U+60DA
060E7	惧		U+60E7
060EA	惪		U+60EA
060EF	惯		U+60EF
060F3	想		U+60F3
060F5	惵		U+60F5
060F6	惶		U+60F6
060FA	惺		U+60FA
06100	愀		U+6100
06101	愁		U+6101
0610F	意		U+610F
06114	愔		U+6114
06126	愦		U+6126
0613A	愺		U+613A
0613C	愼		U+613C
0613E	愾		U+613E
0613F	愿		U+613F
06142	慂		U+6142
06144	慄		U+6144
06148	慈		U+6148
0614C	慌		U+614C
06163	慣		U+6163
06165	慥		U+6165
06170	慰		U+6170
06173	慳		U+6173
06175	慵		U+6175
06177	慷		U+6177
06182	憂		U+6182
06192	憒		U+6192
061AB	憫		U+61AB
061AC	憬		U+61AC
061B6	憶		U+61B6
061CD	懍		U+61CD
061D2	懒		U+61D2
061D4	懔		U+61D4
061DF	懟		U+61DF
061E5	懥		U+61E5
061F6	懶		U+61F6
06209	戉		U+6209
0620C	戌		U+620C
06210	成		U+6210
06211	我		U+6211
06212	戒		U+6212
06215	戕		U+6215
0621B	戛		U+621B
0621E	戞		U+621E
0621F	戟		U+621F
06236	戶		U+6236
06237	户		U+6237
06238	戸		U+6238
0623B	戻		U+623B
0623D	戽		U+623D
0623F	房		U+623F
06246	扆		U+6246
06248	扈		U+6248
0624B	手		U+624B
0624E	扎		U+624E
06250	扐		U+6250
06252	扒		U+6252
06253	打		U+6253
0625B	扛		U+625B
0625E	扞		U+625E
06262	扢		U+6262
06263	扣		U+6263
06267	执		U+6267
06269	扩		U+6269
0626A	扪		U+626A
0626C	扬		U+626C
0626F	扯		U+626F
06270	扰		U+6270
06271	扱		U+6271
06284	抄		U+6284
06286	抆		U+6286
06291	抑		U+6291
06292	抒		U+6292
06295	投		U+6295
06296	抖		U+6296
062A5	报		U+62A5
062B1	抱		U+62B1
062B4	抴		U+62B4
062B6	抶		U+62B6
062BD	抽		U+62BD
062C5	担		U+62C5
062C9	拉		U+62C9
062CC	拌		U+62CC
062CD	拍		U+62CD
062CF	拏		U+62CF
062D2	拒		U+62D2
062D3	拓		U+62D3
062D8	拘		U+62D8
062D9	拙		U+62D9
062DC	拜		U+62DC
062DD	拝		U+62DD
062E1	拡		U+62E1
062E5	拥		U+62E5
062EE	拮		U+62EE
062F1	拱		U+62F1
062F4	拴		U+62F4
062F6	拶		U+62F6
062FD	拽		U+62FD
062FE	拾		U+62FE
062FF	拿		U+62FF
06301	持		U+6301
06303	挃		U+6303
0630D	挍		U+630D
06310	挐		U+6310
06339	挹		U+6339
06342	捂		U+6342
06343	捃		U+6343
06344	捄		U+6344
06345	捅		U+6345
06349	捉		U+6349
0634D	捍		U+634D
0634E	捎		U+634E
0634F	捏		U+634F
06357	捗		U+6357
0635E	捞		U+635E
0635F	损		U+635F
06361	捡		U+6361
06366	捦		U+6366
06368	捨		U+6368
0636B	捫		U+636B
0636E	据		U+636E
0637B	捻		U+637B
06388	授		U+6388
0638F	掏		U+638F
06396	掖		U+6396
06398	掘		U+6398
0639F	掟		U+639F
063A0	掠		U+63A0
063A7	控		U+63A7
063BC	掼		U+63BC
063C5	揅		U+63C5
063D1	揑		U+63D1
063D2	插		U+63D2
063DA	揚		U+63DA
063E2	揢		U+63E2
063F2	揲		U+63F2
063F7	揷		U+63F7
063FD	揽		U+63FD
06405	搅		U+6405
0640D	損		U+640D
06412	搒		U+6412
06413	搓		U+6413
0641C	搜		U+641C
0642A	搪		U+642A
0642D	搭		U+642D
06434	搴		U+6434
0644A	摊		U+644A
0645C	摜		U+645C
0646B	摫		U+646B
0646D	摭		U+646D
0647C	摼		U+647C
06485	撅		U+6485
06488	撈		U+6488
0648A	撊		U+648A
06499	撙		U+6499
0649D	撝		U+649D
064A6	撦		U+64A6
064B7	撷		U+64B7
064B9	撹		U+64B9
064BF	撿		U+64BF
064C0	擀		U+64C0
064C1	擁		U+64C1
064C5	擅		U+64C5
064CE	擎		U+64CE
064D2	擒		U+64D2
064E1	擡		U+64E1
064E2	擢		U+64E2
064E5	擥		U+64E5
064F4	擴		U+64F4
064F7	擷		U+64F7
064FE	擾		U+64FE
06510	攐		U+6510
06513	攓		U+6513
06524	攤		U+6524
0652A	攪		U+652A
0652C	攬		U+652C
06536	收		U+6536
0653B	攻		U+653B
0653E	放		U+653E
0653F	政		U+653F
06542	敂		U+6542
06545	故		U+6545
06548	效		U+6548
06549	敉		U+6549
0654D	敍		U+654D
0654E	敎		U+654E
06551	救		U+6551
06554	敔		U+6554
06555	敕		U+6555
06556	敖		U+6556
06557	敗		U+6557
06558	敘		U+6558
0655B	敛		U+655B
06563	散		U+6563
06569	敩		U+6569
0656C	敬		U+656C
0656D	敭		U+656D
06574	整		U+6574
06582	斂		U+6582
06585	斅		U+6585
06586	斆		U+6586
06587	文		U+6587
0658C	斌		U+658C
06591	斑		U+6591
06597	斗		U+6597
06599	料		U+6599
0659C	斜		U+659C
065A8	斨		U+65A8
065A9	斩		U+65A9
065AB	斫		U+65AB
065B2	斲		U+65B2
065B9	方		U+65B9
065C1	旁		U+65C1
065C3	旃		U+65C3
065C5	旅		U+65C5
065CC	旌		U+65CC
065D3	旓		U+65D3
065E3	旣		U+65E3
065E5	日		U+65E5
065E6	旦		U+65E6
065E7	旧		U+65E7
065E9	早		U+65E9
065ED	旭		U+65ED
065F0	旰		U+65F0
065F1	旱		U+65F1
065F6	时		U+65F6
065F7	旷		U+65F7
065F8	旸		U+65F8
065FA	旺		U+65FA
065FB	旻		U+65FB
065FC	旼		U+65FC
06603	昃		U+6603
06606	昆		U+6606
06607	昇		U+6607
06608	昈		U+6608
06609	昉		U+6609
0660A	昊		U+660A
06612	昒		U+6612
06619	昙		U+6619
0661C	昜		U+661C
0661F	星		U+661F
0662B	昫		U+662B
06631	昱		U+6631
06633	昳		U+6633
0663C	昼		U+663C
0663E	显		U+663E
06642	時		U+6642
06643	晃		U+6643
06644	晄		U+6644
06648	晈		U+6648
06654	晔		U+6654
0665B	晛		U+665B
0665C	晜		U+665C
0665D	晝		U+665D
0665F	晟		U+665F
06664	晤		U+6664
0666E	普		U+666E
0666F	景		U+666F
06674	晴		U+6674
06676	晶		U+6676
06677	晷		U+6677
06691	暑		U+6691
06697	暗		U+6697
06698	暘		U+6698
066A2	暢		U+66A2
066A4	暤		U+66A4
066A6	暦		U+66A6
066AD	暭		U+66AD
066B5	暵		U+66B5
066B9	暹		U+66B9
066C4	曄		U+66C4
066C5	曅		U+66C5
066C6	曆		U+66C6
066C7	曇		U+66C7
066CD	曍		U+66CD
066D1	曑		U+66D1
066D9	曙		U+66D9
066DC	曜		U+66DC
066E0	曠		U+66E0
066E1	曡		U+66E1
066E6	曦		U+66E6
066F0	曰		U+66F0
066F2	曲		U+66F2
066F3	曳		U+66F3
066F6	曶		U+66F6
066F8	書		U+66F8
066FA	曺		U+66FA
066FE	曾		U+66FE
066FF	替		U+66FF
06703	會		U+6703
06708	月		U+6708
06709	有		U+6709
06710	朐		U+6710
06712	朒		U+6712
06715	朕		U+6715
06716	朖		U+6716
06717	朗		U+6717
06718	朘		U+6718
0671B	望		U+671B
06722	朢		U+6722
06728	木		U+6728
0672C	本		U+672C
0672D	札		U+672D
0672E	朮		U+672E
0672F	术		U+672F
06731	朱		U+6731
06738	朸		U+6738
06743	权		U+6743
06744	杄		U+6744
06746	杆		U+6746
06749	杉		U+6749
0674E	李		U+674E
0674F	杏		U+674F
06751	村		U+6751
06755	杕		U+6755
06756	杖		U+6756
06757	杗		U+6757
0675C	杜		U+675C
0675E	杞		U+675E
06760	杠		U+6760
06762	杢		U+6762
06765	来		U+6765
06768	杨		U+6768
0676A	杪		U+676A
06774	杴		U+6774
06775	杵		U+6775
0677C	杼		U+677C
06781	极		U+6781
06785	枅		U+6785
06789	枉		U+6789
0678B	枋		U+678B
0678D	枍		U+678D
06793	枓		U+6793
06797	林		U+6797
06798	枘		U+6798
067A1	枡		U+67A1
067A3	枣		U+67A3
067A5	枥		U+67A5
067A8	枨		U+67A8
067AD	枭		U+67AD
067AF	枯		U+67AF
067B5	枵		U+67B5
067B8	枸		U+67B8
067BB	枻		U+67BB
067BC	枼		U+67BC
067C8	柈		U+67C8
067CA	柊		U+67CA
067CF	柏		U+67CF
067D2	柒		U+67D2
067D8	柘		U+67D8
067DA	柚		U+67DA
067DC	柜		U+67DC
067E9	柩		U+67E9
067FE	柾		U+67FE
06803	栃		U+6803
0680C	栌		U+680C
06811	树		U+6811
06813	栓		U+6813
06817	栗		U+6817
0681A	栚		U+681A
0681D	栝		U+681D
0681E	栞		U+681E
06821	校		U+6821
06822	栢		U+6822
0682A	株		U+682A
0682B	栫		U+682B
06831	栱		U+6831
06834	栴		U+6834
0683C	格		U+683C
06841	桁		U+6841
06844	桄		U+6844
06846	框		U+6846
0684E	桎		U+684E
06850	桐		U+6850
06852	桒		U+6852
06854	桔		U+6854
0685D	桝		U+685D
06862	桢		U+6862
06866	桦		U+6866
06868	桨		U+6868
06876	桶		U+6876
06879	桹		U+6879
0687E	桾		U+687E
0687F	桿		U+687F
06881	梁		U+6881
06882	梂		U+6882
0689F	梟		U+689F
068A0	梠		U+68A0
068A2	梢		U+68A2
068A7	梧		U+68A7
068AC	梬		U+68AC
068AD	梭		U+68AD
068B0	械		U+68B0
068B1	梱		U+68B1
068BF	梿		U+68BF
068C0	检		U+68C0
068C4	棄		U+68C4
068CD	棍		U+68CD
068D6	棖		U+68D6
068D7	棗		U+68D7
068D8	棘		U+68D8
068EE	森		U+68EE
068F9	棹		U+68F9
068FD	棽		U+68FD
06906	椆		U+6906
06907	椇		U+6907
06909	椉		U+6909
0690B	椋		U+690B
0690D	植		U+690D
06910	椐		U+6910
0691B	椛		U+691B
0691C	検		U+691C
0691F	椟		U+691F
0694A	楊		U+694A
0695B	楛		U+695B
06960	楠		U+6960
06968	楨		U+6968
0696D	業		U+696D
0696E	楮		U+696E
06978	楸		U+6978
06979	楹		U+6979
06984	榄		U+6984
06988	榈		U+6988
0698A	榊		U+698A
06994	榔		U+6994
06998	榘		U+6998
0699C	榜		U+699C
069A9	榩		U+69A9
069AD	榭		U+69AD
069BA	榺		U+69BA
069CE	槎		U+69CE
069D3	槓		U+69D3
069D4	槔		U+69D4
069DB	槛		U+69DB
069E0	槠		U+69E0
069E4	槤		U+69E4
069F3	槳		U+69F3
069F9	槹		U+69F9
069FA	槺		U+69FA
069FB	槻		U+69FB
06A02	樂		U+6A02
06A0B	樋		U+6A0B
06A10	樐		U+6A10
06A11	樑		U+6A11
06A2A	横		U+6A2A
06A2B	樫		U+6A2B
06A2F	樯		U+6A2F
06A32	樲		U+6A32
06A3A	樺		U+6A3A
06A3D	樽		U+6A3D
06A3E	樾		U+6A3E
06A50	橐		U+6A50
06A5B	橛		U+6A5B
06A5C	橜		U+6A5C
06A65	橥		U+6A65
06A6B	橫		U+6A6B
06A70	橰		U+6A70
06A79	橹		U+6A79
06A7F	橿		U+6A7F
06A80	檀		U+6A80
06A8D	檍		U+6A8D
06A8E	檎		U+6A8E
06AA0	檠		U+6AA0
06AA2	檢		U+6AA2
06AA3	檣		U+6AA3
06AAF	檯		U+6AAF
06ABB	檻		U+6ABB
06AC2	櫂		U+6AC2
06AC3	櫃		U+6AC3
06AD3	櫓		U+6AD3
06AD4	櫔		U+6AD4
06ADA	櫚		U+6ADA
06ADC	櫜		U+6ADC
06ADD	櫝		U+6ADD
06AE7	櫧		U+6AE7
06AE8	櫨		U+6AE8
06AEA	櫪		U+6AEA
06AEB	櫫		U+6AEB
06B16	欖		U+6B16
06B1D	欝		U+6B1D
06B20	欠		U+6B20
06B2E	欮		U+6B2E
06B31	欱		U+6B31
06B35	欵		U+6B35
06B3D	欽		U+6B3D
06B3E	款		U+6B3E
06B46	歆		U+6B46
06B4E	歎		U+6B4E
06B59	歙		U+6B59
06B5B	歛		U+6B5B
06B62	止		U+6B62
06B63	正		U+6B63
06B6B	歫		U+6B6B
06B6C	歬		U+6B6C
06B6F	歯		U+6B6F
06B72	歲		U+6B72
06B73	歳		U+6B73
06B74	歴		U+6B74
06B77	歷		U+6B77
06B78	歸		U+6B78
06B7E	歾		U+6B7E
06B7F	歿		U+6B7F
06B81	殁		U+6B81
06B87	殇		U+6B87
06B8A	殊		U+6B8A
06B92	殒		U+6B92
06B93	殓		U+6B93
06B96	殖		U+6B96
06B9E	殞		U+6B9E
06BA4	殤		U+6BA4
06BAD	殭		U+6BAD
06BAE	殮		U+6BAE
06BB3	殳		U+6BB3
06BB8	殸		U+6BB8
06BC1	毁		U+6BC1
06BC9	毉		U+6BC9
06BCC	毌		U+6BCC
06BD5	毕		U+6BD5
06BE1	毡		U+6BE1
06BE6	毦		U+6BE6
06BEC	毬		U+6BEC
06C02	氂		U+6C02
06C04	氄		U+6C04
06C08	氈		U+6C08
06C0A	氊		U+6C0A
06C0E	氎		U+6C0E
06C13	氓		U+6C13
06C14	气		U+6C14
06C17	気		U+6C17
06C23	氣		U+6C23
06C34	水		U+6C34
06C38	永		U+6C38
06C3F	氿		U+6C3F
06C40	汀		U+6C40
06C41	汁		U+6C41
06C42	求		U+6C42
06C47	汇		U+6C47
06C49	汉		U+6C49
06C4F	汏		U+6C4F
06C50	汐		U+6C50
06C54	汔		U+6C54
06C55	汕		U+6C55
06C57	汗		U+6C57
06C5D	汝		U+6C5D
06C5E	汞		U+6C5E
06C5F	江		U+6C5F
06C64	汤		U+6C64
06C67	汧		U+6C67
06C68	汨		U+6C68
06C69	汩		U+6C69
06C6A	汪		U+6C6A
06C6D	汭		U+6C6D
06C70	汰		U+6C70
06C72	汲		U+6C72
06C76	汶		U+6C76
06C79	汹		U+6C79
06C7D	汽		U+6C7D
06C84	沄		U+6C84
06C88	沈		U+6C88
06C8F	沏		U+6C8F
06C90	沐		U+6C90
06C92	沒		U+6C92
06C94	沔		U+6C94
06C95	沕		U+6C95
06C96	沖		U+6C96
06C9A	沚		U+6C9A
06CA1	没		U+6CA1
06CA5	沥		U+6CA5
06CA9	沩		U+6CA9
06CAA	沪		U+6CAA
06CAD	沭		U+6CAD
06CB9	油		U+6CB9
06CBA	沺		U+6CBA
06CBD	沽		U+6CBD
06CC1	況		U+6CC1
06CC4	泄		U+6CC4
06CCA	泊		U+6CCA
06CD0	泐		U+6CD0
06CD3	泓		U+6CD3
06CD7	泗		U+6CD7
06CE1	泡		U+6CE1
06CE3	泣		U+6CE3
06CEB	泫		U+6CEB
06CEE	泮		U+6CEE
06CF0	泰		U+6CF0
06CF3	泳		U+6CF3
06CF8	泸		U+6CF8
06D01	洁		U+6D01
06D04	洄		U+6D04
06D0A	洊		U+6D0A
06D0C	洌		U+6D0C
06D11	洑		U+6D11
06D17	洗		U+6D17
06D19	洙		U+6D19
06D1B	洛		U+6D1B
06D1E	洞		U+6D1E
06D27	洧		U+6D27
06D28	洨		U+6D28
06D29	洩		U+6D29
06D2A	洪		U+6D2A
06D2D	洭		U+6D2D
06D31	洱		U+6D31
06D32	洲		U+6D32
06D33	洳		U+6D33
06D36	洶		U+6D36
06D38	洸		U+6D38
06D3D	洽		U+6D3D
06D44	浄		U+6D44
06D46	浆		U+6D46
06D48	浈		U+6D48
06D52	浒		U+6D52
06D5A	浚		U+6D5A
06D5E	浞		U+6D5E
06D63	浣		U+6D63
06D65	浥		U+6D65
06D6A	浪		U+6D6A
06D6C	浬		U+6D6C
06D6E	浮		U+6D6E
06D6F	浯		U+6D6F
06D70	浰		U+6D70
06D7F	浿		U+6D7F
06D82	涂		U+6D82
06D83	涃		U+6D83
06D85	涅		U+6D85
06D88	消		U+6D88
06D89	涉		U+6D89
06D8C	涌		U+6D8C
06D94	涔		U+6D94
06D96	涖		U+6D96
06D9C	涜		U+6D9C
06D9D	涝		U+6D9D
06D9E	涞		U+6D9E
06D9F	涟		U+6D9F
06DA2	涢		U+6DA2
06DA6	润		U+6DA6
06DA7	涧		U+6DA7
06DA8	涨		U+6DA8
06DA9	涩		U+6DA9
06DB1	涱		U+6DB1
06DB2	液		U+6DB2
06DB8	涸		U+6DB8
06DBC	涼		U+6DBC
06DC0	淀		U+6DC0
06DCB	淋		U+6DCB
06DDD	淝		U+6DDD
06DDF	淟		U+6DDF
06DE0	淠		U+6DE0
06DE6	淦		U+6DE6
06DE8	淨		U+6DE8
06DF4	淴		U+6DF4
06DF6	淶		U+6DF6
06DF7	混		U+6DF7
06DF8	淸		U+6DF8
06DFB	添		U+6DFB
06DFC	淼		U+6DFC
06E05	清		U+6E05
06E09	渉		U+6E09
06E0E	渎		U+6E0E
06E14	渔		U+6E14
06E1A	渚		U+6E1A
06E1F	渟		U+6E1F
06E20	渠		U+6E20
06E21	渡		U+6E21
06E2B	渫		U+6E2B
06E2D	渭		U+6E2D
06E2F	港		U+6E2F
06E3A	渺		U+6E3A
06E43	湃		U+6E43
06E49	湉		U+6E49
06E4E	湎		U+6E4E
06E56	湖		U+6E56
06E58	湘		U+6E58
06E5E	湞		U+6E5E
06E5F	湟		U+6E5F
06E67	湧		U+6E67
06E6B	湫		U+6E6B
06E6F	湯		U+6E6F
06E79	湹		U+6E79
06E7C	湼		U+6E7C
06E83	溃		U+6E83
06E86	溆		U+6E86
06E88	溈		U+6E88
06E8F	溏		U+6E8F
06E90	源		U+6E90
06EA0	溠		U+6EA0
06EA7	溧		U+6EA7
06EB3	溳		U+6EB3
06EC1	滁		U+6EC1
06EC2	滂		U+6EC2
06EC5	滅		U+6EC5
06EC9	滉		U+6EC9
06ECB	滋		U+6ECB
06ECD	滍		U+6ECD
06ED5	滕		U+6ED5
06EE5	滥		U+6EE5
06EE9	滩		U+6EE9
06EEA	滪		U+6EEA
06EEC	滬		U+6EEC
06EF7	滷		U+6EF7
06EF8	滸		U+6EF8
06F01	漁		U+6F01
06F09	漉		U+6F09
06F0F	漏		U+6F0F
06F22	漢		U+6F22
06F23	漣		U+6F23
06F26	漦		U+6F26
06F32	漲		U+6F32
06F35	漵		U+6F35
06F36	漶		U+6F36
06F3F	漿		U+6F3F
06F40	潀		U+6F40
06F41	潁		U+6F41
06F4A	潊		U+6F4A
06F4B	潋		U+6F4B
06F59	潙		U+6F59
06F5B	潛		U+6F5B
06F5D	潝		U+6F5D
06F5E	潞		U+6F5E
06F62	潢		U+6F62
06F64	潤		U+6F64
06F68	潨		U+6F68
06F70	潰		U+6F70
06F74	潴		U+6F74
06F78	潸		U+6F78
06F80	澀		U+6F80
06F81	澁		U+6F81
06F87	澇		U+6F87
06F90	澐		U+6F90
06F92	澒		U+6F92
06F97	澗		U+6F97
06FA3	澣		U+6FA3
06FA6	澦		U+6FA6
06FA7	澧		U+6FA7
06FA8	澨		U+6FA8
06FAD	澭		U+6FAD
06FB0	澰		U+6FB0
06FB6	澶		U+6FB6
06FC7	濇		U+6FC7
06FCA	濊		U+6FCA
06FD1	濑		U+6FD1
06FDE	濞		U+6FDE
06FEB	濫		U+6FEB
06FEF	濯		U+6FEF
06FF3	濳		U+6FF3
07006	瀆		U+7006
07007	瀇		U+7007
0700B	瀋		U+700B
0700D	瀍		U+700D
07018	瀘		U+7018
0701B	瀛		U+701B
0701D	瀝		U+701D
0701E	瀞		U+701E
07026	瀦		U+7026
07028	瀨		U+7028
0702C	瀬		U+702C
07032	瀲		U+7032
07039	瀹		U+7039
07049	灉		U+7049
07058	灘		U+7058
0706B	火		U+706B
0706D	灭		U+706D
0706F	灯		U+706F
07070	灰		U+7070
07078	灸		U+7078
0707E	灾		U+707E
07080	炀		U+7080
07089	炉		U+7089
07092	炒		U+7092
0709F	炟		U+709F
070AB	炫		U+70AB
070AC	炬		U+70AC
070AE	炮		U+70AE
070B0	炰		U+70B0
070BA	為		U+70BA
070C8	烈		U+70C8
070CB	烋		U+70CB
070D4	烔		U+70D4
070D5	烕		U+70D5
070D8	烘		U+70D8
070D9	烙		U+70D9
070E6	烦		U+70E6
070E8	烨		U+70E8
070ED	热		U+70ED
070F9	烹		U+70F9
0710A	焊		U+710A
0711A	焚		U+711A
0711C	焜		U+711C
0712B	焫		U+712B
0714C	煌		U+714C
07151	煑		U+7151
0715C	煜		U+715C
07160	煠		U+7160
07166	煦		U+7166
07169	煩		U+7169
0716C	煬		U+716C
0716E	煮		U+716E
071A8	熨		U+71A8
071AC	熬		U+71AC
071AF	熯		U+71AF
071B1	熱		U+71B1
071B2	熲		U+71B2
071C1	燁		U+71C1
071E7	燧		U+71E7
071EE	燮		U+71EE
071FF	燿		U+71FF
07207	爇		U+7207
07210	爐		U+7210
07217	爗		U+7217
0721A	爚		U+721A
0721D	爝		U+721D
0721E	爞		U+721E
0722D	爭		U+722D
0722F	爯		U+722F
07231	爱		U+7231
07232	爲		U+7232
07235	爵		U+7235
0723F	爿		U+723F
07240	牀		U+7240
07242	牂		U+7242
07246	牆		U+7246
07247	片		U+7247
07249	牉		U+7249
0724D	牍		U+724D
07252	牒		U+7252
07253	牓		U+7253
07258	牘		U+7258
0725B	牛		U+725B
07266	牦		U+7266
07269	物		U+7269
0726F	牯		U+726F
07272	牲		U+7272
07275	牵		U+7275
07277	牷		U+7277
07278	牸		U+7278
07279	特		U+7279
0727A	牺		U+727A
0727D	牽		U+727D
07280	犀		U+7280
0728A	犊		U+728A
07296	犖		U+7296
0729B	犛		U+729B
072A0	犠		U+72A0
072A2	犢		U+72A2
072A7	犧		U+72A7
072A8	犨		U+72A8
072AC	犬		U+72AC
072B0	犰		U+72B0
072B5	犵		U+72B5
072B6	状		U+72B6
072B7	犷		U+72B7
072C0	狀		U+72C0
072C1	狁		U+72C1
072C2	狂		U+72C2
072C4	狄		U+72C4
072C8	狈		U+72C8
072CC	狌		U+72CC
072D7	狗		U+72D7
072DB	狛		U+72DB
072E1	狡		U+72E1
072E2	狢		U+72E2
072E9	狩		U+72E9
072F0	狰		U+72F0
072F1	狱		U+72F1
072F3	狳		U+72F3
072F8	狸		U+72F8
072FA	狺		U+72FA
072FB	狻		U+72FB
072FC	狼		U+72FC
072FD	狽		U+72FD
07303	猃		U+7303
07307	猇		U+7307
0730E	猎		U+730E
07319	猙		U+7319
0731F	猟		U+731F
07322	猢		U+7322
07329	猩		U+7329
0732A	猪		U+732A
0732C	猬		U+732C
0733F	猿		U+733F
0734E	獎		U+734E
07352	獒		U+7352
07363	獣		U+7363
07369	獩		U+7369
0736B	獫		U+736B
0736D	獭		U+736D
07375	獵		U+7375
07377	獷		U+7377
07378	獸		U+7378
0737A	獺		U+737A
0737B	獻		U+737B
07384	玄		U+7384
07385	玅		U+7385
07389	玉		U+7389
0738B	王		U+738B
07395	玕		U+7395
07396	玖		U+7396
0739A	玚		U+739A
0739F	玟		U+739F
073A0	玠		U+73A0
073B0	现		U+73B0
073B9	玹		U+73B9
073C0	珀		U+73C0
073D9	珙		U+73D9
073DE	珞		U+73DE
073E0	珠		U+73E0
073E5	珥		U+73E5
073E9	珩		U+73E9
073ED	班		U+73ED
073EE	珮		U+73EE
073FE	現		U+73FE
07403	球		U+7403
07405	琅		U+7405
07406	理		U+7406
0740F	琏		U+740F
07410	琐		U+7410
0741A	琚		U+741A
07424	琤		U+7424
07428	琨		U+7428
07431	琱		U+7431
07433	琳		U+7433
07434	琴		U+7434
07440	瑀		U+7440
07452	瑒		U+7452
0745A	瑚		U+745A
07463	瑣		U+7463
0746F	瑯		U+746F
07473	瑳		U+7473
07489	璉		U+7489
07490	璐		U+7490
07497	璗		U+7497
0749C	璜		U+749C
0749F	璟		U+749F
074B2	璲		U+74B2
074DE	瓞		U+74DE
074EE	瓮		U+74EE
07503	甃		U+7503
07515	甕		U+7515
0751C	甜		U+751C
0751F	生		U+751F
07521	甡		U+7521
07522	產		U+7522
07525	甥		U+7525
07526	甦		U+7526
07528	用		U+7528
0752C	甬		U+752C
07530	田		U+7530
07531	由		U+7531
07533	申		U+7533
07535	电		U+7535
07537	男		U+7537
07538	甸		U+7538
07539	甹		U+7539
0753A	町		U+753A
0753F	甿		U+753F
07540	畀		U+7540
07545	畅		U+7545
0754B	畋		U+754B
0754C	界		U+754C
0754E	畎		U+754E
07551	畑		U+7551
07554	畔		U+7554
07560	畠		U+7560
07562	畢		U+7562
07563	畣		U+7563
07564	畤		U+7564
07565	略		U+7565
07567	畧		U+7567
0756B	畫		U+756B
0756C	畬		U+756C
0756D	畭		U+756D
0756F	畯		U+756F
07572	畲		U+7572
07573	畳		U+7573
0757A	畺		U+757A
07586	疆		U+7586
07589	疉		U+7589
0758A	疊		U+758A
0758F	疏		U+758F
07590	疐		U+7590
07592	疒		U+7592
07594	疔		U+7594
07598	疘		U+7598
07599	疙		U+7599
0759A	疚		U+759A
0759D	疝		U+759D
075A0	疠		U+75A0
075A1	疡		U+75A1
075A2	疢		U+75A2
075A3	疣		U+75A3
075A5	疥		U+75A5
075AC	疬		U+75AC
075B1	疱		U+75B1
075B8	疸		U+75B8
075BC	疼		U+75BC
075C0	痀		U+75C0
075C3	痃		U+75C3
075C7	症		U+75C7
075C8	痈		U+75C8
075CA	痊		U+75CA
075CC	痌		U+75CC
075CF	痏		U+75CF
075D4	痔		U+75D4
075DB	痛		U+75DB
075DF	痟		U+75DF
075E0	痠		U+75E0
075E2	痢		U+75E2
075E3	痣		U+75E3
075E8	痨		U+75E8
075EB	痫		U+75EB
075F3	痳		U+75F3
075F9	痹		U+75F9
075FA	痺		U+75FA
075FC	痼		U+75FC
0760C	瘌		U+760C
0760D	瘍		U+760D
0760F	瘏		U+760F
07616	瘖		U+7616
07625	瘥		U+7625
07646	癆		U+7646
07647	癇		U+7647
0764C	癌		U+764C
0764E	癎		U+764E
07655	癕		U+7655
07658	癘		U+7658
0765E	癞		U+765E
07667	癧		U+7667
07669	癩		U+7669
07670	癰		U+7670
0767D	白		U+767D
0767E	百		U+767E
07681	皁		U+7681
07682	皂		U+7682
07687	皇		U+7687
0768B	皋		U+768B
0768E	皎		U+768E
07690	皐		U+7690
07695	皕		U+7695
0769B	皛		U+769B
0769D	皝		U+769D
